dataset,seed,model,rule_budget,f1,roc_auc,pr_auc,elapsed_sec
breast_cancer,7,rulefit,100,0.948905109489051,0.9943783068783069,0.9969281794669321,0.9946255683898926
breast_cancer,19,rulefit,100,0.9793103448275862,0.994047619047619,0.9962668857086923,1.1313860416412354
breast_cancer,23,rulefit,100,0.9370629370629371,0.9722222222222222,0.9798621553481952,1.0119855403900146
breast_cancer,29,rulefit,100,0.9496402877697842,0.9933862433862434,0.9962492088188415,1.0345523357391357
breast_cancer,42,rulefit,100,0.971830985915493,0.9947089947089947,0.9968677673444724,1.0221731662750244
breast_cancer,101,rulefit,100,0.9655172413793104,0.9930555555555556,0.9960598869205883,1.008594274520874
breast_cancer,7,rulefit,200,0.9571428571428572,0.994378306878307,0.9968781465245417,1.18748140335083
breast_cancer,19,rulefit,200,0.9793103448275862,0.9950396825396824,0.9969926495182931,1.2121469974517822
breast_cancer,23,rulefit,200,0.9583333333333334,0.966931216931217,0.9719520633508678,1.1766417026519775
breast_cancer,29,rulefit,200,0.9496402877697842,0.9957010582010583,0.9974159358159926,1.2327394485473633
breast_cancer,42,rulefit,200,0.965034965034965,0.9923941798941799,0.9957200207722778,1.1684753894805908
breast_cancer,101,rulefit,200,0.9523809523809523,0.9917328042328042,0.9954141910925853,1.240058422088623
breast_cancer,7,rulefit,400,0.9571428571428572,0.9933862433862434,0.9963941951657851,1.3310644626617432
breast_cancer,19,rulefit,400,0.9793103448275862,0.9933862433862434,0.9959156017212187,1.3720173835754395
breast_cancer,23,rulefit,400,0.951048951048951,0.9636243386243387,0.9669760987478931,1.2953815460205078
breast_cancer,29,rulefit,400,0.9420289855072463,0.9947089947089947,0.9968870699104143,1.2991790771484375
breast_cancer,42,rulefit,400,0.965034965034965,0.9907407407407407,0.9953067559165815,1.3180978298187256
breast_cancer,101,rulefit,400,0.9523809523809523,0.9890873015873016,0.993924854365195,1.3222672939300537
susy_binary_200000,7,rulefit,100,0.7310959121997773,0.8653125600549045,0.8710858352492469,298.43545389175415
susy_binary_200000,19,rulefit,100,0.7280321387578115,0.8654268019135305,0.8702691927675199,363.773401260376
susy_binary_200000,23,rulefit,100,0.7288130195229148,0.8642834668140795,0.8697723117197553,439.21912384033203
susy_binary_200000,29,rulefit,100,0.7324473340344838,0.8644419304342114,0.8693607921931394,325.4339611530304
susy_binary_200000,42,rulefit,100,0.730396531939309,0.8665577464596379,0.8721661522806415,483.8986041545868
susy_binary_200000,101,rulefit,100,0.7281658692185008,0.8650198222163825,0.8692303326906098,420.5277006626129
susy_binary_200000,7,rulefit,200,0.7327047020351145,0.8665931606300861,0.8723890482858506,1097.6606531143188
susy_binary_200000,19,rulefit,200,0.7321246819338423,0.8673952708181161,0.8722015059894972,1170.6890058517456
susy_binary_200000,23,rulefit,200,0.73057966866991,0.8649955169915453,0.870582937800302,1224.5540215969086
susy_binary_200000,29,rulefit,200,0.7351241506318664,0.86564311161627,0.8707830235651604,1780.21049451828
susy_binary_200000,42,rulefit,200,0.731926272562315,0.8670816948939468,0.8727680212363274,1468.567536354065
susy_binary_200000,101,rulefit,200,0.7307165823066883,0.8660726088339524,0.8703820967426976,1432.1048064231873
susy_binary_200000,7,rulefit,400,0.7325526040178997,0.8663596713407866,0.8721701558400654,13442.826728343964
susy_binary_200000,19,rulefit,400,0.7332041548870747,0.8673390286335944,0.8720700941672135,14104.15555024147
susy_binary_200000,23,rulefit,400,0.7308315592132439,0.8648650347205915,0.870424583362658,14317.590638160706
susy_binary_200000,29,rulefit,400,0.7345332190585023,0.8652859685828744,0.8703998944547304,19597.489739894867
susy_binary_200000,42,rulefit,400,0.7307043508704923,0.8666598848047663,0.8722275247098408,13834.815095186234
susy_binary_200000,101,rulefit,400,0.7288297465936585,0.8658607281056756,0.8699876996689215,16510.30508041382
