dataset,seed,budget,method,f1,roc_auc,pr_auc,n_features
covtype_binary_20000,1,100,lr_topk_rules,0.7632776934749621,0.8381008130081302,0.8037367929388525,100
covtype_binary_20000,1,200,lr_topk_rules,0.7636822194199243,0.8412480300187618,0.8082854564962804,200
covtype_binary_20000,1,400,lr_topk_rules,0.7744191856107919,0.8506091307066916,0.8183477072379559,400
covtype_binary_20000,7,100,lr_topk_rules,0.7591609805408137,0.83226191369606,0.7894982863709632,100
covtype_binary_20000,7,200,lr_topk_rules,0.7617847239727754,0.8381766103814885,0.8024926266822876,200
covtype_binary_20000,7,400,lr_topk_rules,0.7706198145436799,0.844412507817386,0.8150105291113083,400
covtype_binary_20000,13,100,lr_topk_rules,0.7548895097790196,0.8340477798624141,0.8057186366809213,100
covtype_binary_20000,13,200,lr_topk_rules,0.7683673469387755,0.8434466541588492,0.8141691982651817,200
covtype_binary_20000,13,400,lr_topk_rules,0.7684426229508197,0.8446681676047529,0.8169043350851299,400
covtype_binary_20000,31,100,lr_topk_rules,0.7574617506897416,0.8261568480300188,0.7730038751780723,100
covtype_binary_20000,31,200,lr_topk_rules,0.761544284632854,0.8409328330206379,0.8080945973394149,200
covtype_binary_20000,31,400,lr_topk_rules,0.7737590421551509,0.8557308317698561,0.8314807586632195,400
covtype_binary_20000,37,100,lr_topk_rules,0.7699001791656002,0.8415907442151345,0.8031399531527565,100
covtype_binary_20000,37,200,lr_topk_rules,0.7737337744973276,0.8486148843026892,0.8045467465721818,200
covtype_binary_20000,37,400,lr_topk_rules,0.7876084262701363,0.8712655409631018,0.8475737539911876,400
covtype_binary_20000,41,100,lr_topk_rules,0.762750570921086,0.8371234521575985,0.7924693512012073,100
covtype_binary_20000,41,200,lr_topk_rules,0.7647505697644973,0.8393303314571608,0.7949453401859699,200
covtype_binary_20000,41,400,lr_topk_rules,0.7871911245587494,0.8669798624140087,0.8404367420851353,400
covtype_binary_20000,43,100,lr_topk_rules,0.7707217546544249,0.8421958724202627,0.801000111568916,100
covtype_binary_20000,43,200,lr_topk_rules,0.7745197168857432,0.8462866791744841,0.8072251309490275,200
covtype_binary_20000,43,400,lr_topk_rules,0.7956564659427443,0.8679367104440276,0.8415246369508596,400
