dataset,seed,budget,method,selected_rules,f1,roc_auc,pr_auc
covtype_binary_20000,19,100,budget_prune_h_lr,100,0.7551803530314658,0.8323357098186367,0.7926926112401014
covtype_binary_20000,19,100,stable_budget_prune_h_lr,100,0.7689348401057947,0.8286371482176361,0.7890824681342085
covtype_binary_20000,19,100,gate_l1_topk_proxy_h_lr,100,0.7755001234872808,0.8469896185115697,0.8176060446187838
covtype_binary_20000,19,100,forward_f1_h_lr,40,0.7719813862356111,0.8381203252032521,0.8068706250241791
covtype_binary_20000,19,200,budget_prune_h_lr,200,0.7764937300221293,0.8430001250781738,0.8074159729226509
covtype_binary_20000,19,200,stable_budget_prune_h_lr,200,0.7709143968871596,0.8364672920575359,0.7996516704806108
covtype_binary_20000,19,200,gate_l1_topk_proxy_h_lr,200,0.7759643916913946,0.8472512820512821,0.8178290744886767
covtype_binary_20000,19,200,forward_f1_h_lr,40,0.7719813862356111,0.8381203252032521,0.8068706250241791
covtype_binary_20000,19,400,budget_prune_h_lr,400,0.7756109602567267,0.8469608505315822,0.8177298469018043
covtype_binary_20000,19,400,stable_budget_prune_h_lr,400,0.7691169215589542,0.8450881801125704,0.816839490333199
covtype_binary_20000,19,400,gate_l1_topk_proxy_h_lr,400,0.7761046655146877,0.847734584115072,0.8184667869840802
covtype_binary_20000,19,400,forward_f1_h_lr,40,0.7719813862356111,0.8381203252032521,0.8068706250241791
covtype_binary_20000,23,100,budget_prune_h_lr,100,0.7592592592592593,0.8398439024390245,0.8019225067731228
covtype_binary_20000,23,100,stable_budget_prune_h_lr,100,0.7748360456643186,0.8416785490931833,0.8048396999302474
covtype_binary_20000,23,100,gate_l1_topk_proxy_h_lr,100,0.7821586988664366,0.8588657911194497,0.832256657214863
covtype_binary_20000,23,100,forward_f1_h_lr,40,0.7769435698716396,0.8376540337711069,0.7947572662508338
covtype_binary_20000,23,200,budget_prune_h_lr,200,0.772793759141882,0.8486461538461539,0.816650648786792
covtype_binary_20000,23,200,stable_budget_prune_h_lr,200,0.7728497917177163,0.8486841776110068,0.8150476088347272
covtype_binary_20000,23,200,gate_l1_topk_proxy_h_lr,200,0.7805480128363367,0.8595892432770481,0.8344970446319914
covtype_binary_20000,23,200,forward_f1_h_lr,40,0.7769435698716396,0.8376540337711069,0.7947572662508338
covtype_binary_20000,23,400,budget_prune_h_lr,400,0.7812963879267689,0.8584422764227643,0.8325690989984925
covtype_binary_20000,23,400,stable_budget_prune_h_lr,400,0.7784076904116343,0.8559682301438398,0.8265306288176126
covtype_binary_20000,23,400,gate_l1_topk_proxy_h_lr,400,0.78035538005923,0.8599899937460913,0.834169869406821
covtype_binary_20000,23,400,forward_f1_h_lr,40,0.7769435698716396,0.8376540337711069,0.7947572662508338
covtype_binary_20000,29,100,budget_prune_h_lr,100,0.7608200455580866,0.834713195747342,0.7932074332094168
covtype_binary_20000,29,100,stable_budget_prune_h_lr,100,0.7680908866386762,0.8299394621638524,0.7882203767395196
covtype_binary_20000,29,100,gate_l1_topk_proxy_h_lr,100,0.7875520705709385,0.8455757348342715,0.8049104783750376
covtype_binary_20000,29,100,forward_f1_h_lr,40,0.7680321688866549,0.8304107567229518,0.7901897466447002
covtype_binary_20000,29,200,budget_prune_h_lr,200,0.7812653261402648,0.841930206378987,0.8008476192892904
covtype_binary_20000,29,200,stable_budget_prune_h_lr,200,0.7718170580964153,0.8336105065666042,0.7895704583391008
covtype_binary_20000,29,200,gate_l1_topk_proxy_h_lr,200,0.7868530782438067,0.8457403377110694,0.8046795258033028
covtype_binary_20000,29,200,forward_f1_h_lr,40,0.7680321688866549,0.8304107567229518,0.7901897466447002
covtype_binary_20000,29,400,budget_prune_h_lr,400,0.7864672713900466,0.8448585365853659,0.8025941558687723
covtype_binary_20000,29,400,stable_budget_prune_h_lr,400,0.7845142439737034,0.8433783614759225,0.8039295431618166
covtype_binary_20000,29,400,gate_l1_topk_proxy_h_lr,400,0.7850834151128557,0.8457741088180112,0.8043104300369128
covtype_binary_20000,29,400,forward_f1_h_lr,40,0.7680321688866549,0.8304107567229518,0.7901897466447002
