dataset,seed,budget,method,selected_rules,f1,roc_auc,pr_auc
covtype_binary_20000,19,25,budget_prune_h_lr,25,0.7379679144385026,0.8145708567854909,0.768939340055506
covtype_binary_20000,19,25,stable_budget_prune_h_lr,25,0.7379679144385026,0.8145708567854909,0.768939340055506
covtype_binary_20000,19,25,gate_l1_topk_proxy_h_lr,25,0.7717553455992043,0.8451434646654159,0.8191473126038042
covtype_binary_20000,19,25,forward_f1_h_lr,25,0.7721798967805358,0.8384950594121325,0.8081628346201875
covtype_binary_20000,19,25,lofo_f1_h_lr,25,0.7648933562147585,0.8325408380237647,0.7866818541102105
covtype_binary_20000,19,25,lofo_f1_bootstrap_h_lr,25,0.7648933562147585,0.8325408380237647,0.7866818541102105
covtype_binary_20000,19,50,budget_prune_h_lr,50,0.7469450101832994,0.8236740462789244,0.783656906377848
covtype_binary_20000,19,50,stable_budget_prune_h_lr,50,0.7469450101832994,0.8236740462789244,0.783656906377848
covtype_binary_20000,19,50,gate_l1_topk_proxy_h_lr,50,0.7736035590706871,0.8467892432770481,0.8177729565448693
covtype_binary_20000,19,50,forward_f1_h_lr,50,0.7710843373493976,0.8387046904315196,0.8086449975287744
covtype_binary_20000,19,50,lofo_f1_h_lr,50,0.7717821782178218,0.8369575984990618,0.8014117544955697
covtype_binary_20000,19,50,lofo_f1_bootstrap_h_lr,50,0.7717821782178218,0.8369575984990618,0.8014117544955697
covtype_binary_20000,19,100,budget_prune_h_lr,100,0.7551803530314658,0.8323357098186367,0.7926926112401014
covtype_binary_20000,19,100,stable_budget_prune_h_lr,100,0.7551803530314658,0.8323357098186367,0.7926926112401014
covtype_binary_20000,19,100,gate_l1_topk_proxy_h_lr,100,0.7755001234872808,0.8469896185115697,0.8176060446187838
covtype_binary_20000,19,100,forward_f1_h_lr,100,0.7692307692307693,0.8401608505315823,0.8109640162395788
covtype_binary_20000,19,100,lofo_f1_h_lr,100,0.7726597325408618,0.8417651031894934,0.8109360927512517
