dataset,budget,method,n_seeds,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,subset_jaccard_pairwise_mean
covtype_binary_20000,25,budget_prune_h_lr,3,0.743288115506419,0.005826908401898384,0.8142505732749635,0.008775844055987927,0.7669718340710052,0.01676826556220293,0.2962962962962963
covtype_binary_20000,25,forward_f1_h_lr,3,0.7705084503543731,0.0013419551699008498,0.8359272045028142,0.002702595366620348,0.7992275652144198,0.007513690271464631,0.058333333333333334
covtype_binary_20000,25,gate_l1_topk_proxy_h_lr,3,0.7773551112027547,0.003978773526498846,0.8471590577444236,0.006430064974348671,0.8171300260881544,0.010069425712312893,0.027777777777777776
covtype_binary_20000,25,lofo_f1_bootstrap_h_lr,3,0.7697660574705237,0.003731667285514114,0.8359181154888471,0.0077565954206301494,0.7922560626515162,0.014505220443116898,0.13675514838305536
covtype_binary_20000,25,lofo_f1_h_lr,3,0.7697660574705237,0.003731667285514114,0.8359181154888471,0.0077565954206301494,0.7922560626515162,0.014505220443116898,0.13675514838305536
covtype_binary_20000,25,stable_budget_prune_h_lr,3,0.743288115506419,0.005826908401898384,0.8142505732749635,0.008775844055987927,0.7669718340710052,0.01676826556220293,0.2962962962962963
covtype_binary_20000,50,budget_prune_h_lr,3,0.7522095247430077,0.003808280253693025,0.8260923076923078,0.002474731976526087,0.782376130241126,0.0009606148733249641,0.3277953277953278
covtype_binary_20000,50,forward_f1_h_lr,3,0.774792276192186,0.003386635019348987,0.8402479883260371,0.001446434623952585,0.8071038529610213,0.0016577916690123733,0.15193798449612403
covtype_binary_20000,50,gate_l1_topk_proxy_h_lr,3,0.7805807143573984,0.0050339328418913185,0.8501929539295393,0.005496149595200388,0.8184156816147319,0.010158431404670515,0.08314624443656701
covtype_binary_20000,50,lofo_f1_bootstrap_h_lr,3,0.7744404020553173,0.0034218926627993143,0.8417096518657495,0.006140124016708805,0.8045043821831627,0.007998312887956322,0.09527361485380301
covtype_binary_20000,50,lofo_f1_h_lr,3,0.774874643073217,0.003688352381498681,0.8419792370231394,0.006090414701907033,0.8046977585883384,0.009508791810344627,0.09146060486371684
covtype_binary_20000,50,stable_budget_prune_h_lr,3,0.7522095247430077,0.003808280253693025,0.8260923076923078,0.002474731976526087,0.782376130241126,0.0009606148733249641,0.3277953277953278
covtype_binary_20000,100,budget_prune_h_lr,3,0.7584198859496039,0.002377666028332121,0.8356309360016677,0.0031331479895911818,0.795940850407547,0.004234888433941548,0.30963846494273173
covtype_binary_20000,100,forward_f1_h_lr,3,0.7750063591000451,0.005624149986987448,0.8416818011257036,0.0015159854579822288,0.8076945753197514,0.003907615240388952,0.15665758110202554
covtype_binary_20000,100,gate_l1_topk_proxy_h_lr,3,0.7817369643082186,0.00492921576960727,0.850477048155097,0.005959755204968052,0.8182577267362281,0.011173536935443368,0.2242359201502757
covtype_binary_20000,100,lofo_f1_bootstrap_h_lr,3,0.7800399661071155,0.0062523936810584225,0.8459272878882635,0.006303863638959796,0.8112218668534948,0.00997400003568353,0.12883953503474252
covtype_binary_20000,100,lofo_f1_h_lr,3,0.7805663137532732,0.006906784261603454,0.8456152595372107,0.006505733411203917,0.8108333632411207,0.01140580646699878,0.12667204735001344
covtype_binary_20000,100,stable_budget_prune_h_lr,3,0.7584198859496039,0.002377666028332121,0.8356309360016677,0.0031331479895911818,0.795940850407547,0.004234888433941548,0.30963846494273173
covtype_binary_20000,200,budget_prune_h_lr,3,0.7768509384347587,0.00346771396740101,0.8445254951011049,0.0029463030932089856,0.8083047469995778,0.00648209713208053,0.352128228861826
covtype_binary_20000,200,forward_f1_h_lr,3,0.7766505155010626,0.003305389724381672,0.8445856160100063,0.003004623765159112,0.8084768801856576,0.006614051334713032,0.352128228861826
covtype_binary_20000,200,gate_l1_topk_proxy_h_lr,3,0.7811218275905126,0.004463766812775375,0.8508602876797998,0.006203049656626107,0.8190018816413236,0.012201167013521669,0.29970336987292945
covtype_binary_20000,200,lofo_f1_bootstrap_h_lr,3,0.7816730413263484,0.005666013635452237,0.8474875964144257,0.00623853608442077,0.8132703748892097,0.01086710916219924,0.2278158259897321
covtype_binary_20000,200,lofo_f1_h_lr,3,0.7816423115961154,0.005742494905532728,0.8472438607462998,0.006392473780636564,0.8129061062385136,0.01189748069858254,0.2278158259897321
covtype_binary_20000,200,stable_budget_prune_h_lr,3,0.7768509384347587,0.00346771396740101,0.8445254951011049,0.0029463030932089856,0.8083047469995778,0.00648209713208053,0.352128228861826
covtype_binary_20000,400,budget_prune_h_lr,3,0.7811248731911807,0.004433729493647089,0.8500872211799041,0.005969932554925971,0.817631033923023,0.012237418761353033,0.4878814077173117
covtype_binary_20000,400,forward_f1_h_lr,3,0.7766505155010626,0.003305389724381672,0.8445856160100063,0.003004623765159112,0.8084768801856576,0.006614051334713032,0.352128228861826
covtype_binary_20000,400,gate_l1_topk_proxy_h_lr,3,0.7805144868955911,0.0036672853107517418,0.8511662288930582,0.006290468211710679,0.8189823621426047,0.012195515382832922,0.47487058452410985
covtype_binary_20000,400,lofo_f1_bootstrap_h_lr,3,0.7811290431716388,0.004260886931982412,0.8493165728580363,0.006345851839119039,0.8158614265639653,0.0126487845877845,0.34822386975458913
covtype_binary_20000,400,lofo_f1_h_lr,3,0.781257413490118,0.0035488274474986233,0.8493577652699604,0.006328818014156114,0.8157706712420998,0.012777443579550178,0.3482248289596
covtype_binary_20000,400,stable_budget_prune_h_lr,3,0.7768509384347587,0.00346771396740101,0.8445254951011049,0.0029463030932089856,0.8083047469995778,0.00648209713208053,0.352128228861826
