concept_name,top_predicate_1,top_predicate_2,top_predicate_3,predicate_activation,predicate_weight,term_label,feature_name
s1_18,worst smoothness [x24] IS high,worst concave points [x27] IS mid,worst smoothness [x24] IS mid,0.3615,0.9771,high,worst smoothness [x24]
s1_18,worst smoothness [x24] IS high,worst concave points [x27] IS mid,worst smoothness [x24] IS mid,0.8472,0.9771,mid,worst concave points [x27]
s1_18,worst smoothness [x24] IS high,worst concave points [x27] IS mid,worst smoothness [x24] IS mid,,0.0154,mid,worst smoothness [x24]
s1_19,worst smoothness [x24] IS high,worst concave points [x27] IS mid,worst smoothness [x24] IS mid,0.3615,0.9771,high,worst smoothness [x24]
s1_19,worst smoothness [x24] IS high,worst concave points [x27] IS mid,worst smoothness [x24] IS mid,0.8472,0.9771,mid,worst concave points [x27]
s1_19,worst smoothness [x24] IS high,worst concave points [x27] IS mid,worst smoothness [x24] IS mid,,0.0154,mid,worst smoothness [x24]
s1_8,mean fractal dimension [x9] IS mid,radius error [x10] IS low,mean symmetry [x8] IS high,0.9166,0.5471,mid,mean fractal dimension [x9]
s1_8,mean fractal dimension [x9] IS mid,radius error [x10] IS low,mean symmetry [x8] IS high,0.1251,0.5471,low,radius error [x10]
s1_8,mean fractal dimension [x9] IS mid,radius error [x10] IS low,mean symmetry [x8] IS high,0.9988,0.4409,high,mean symmetry [x8]
s1_27,mean radius [x0] IS high,worst perimeter [x22] IS mid,worst perimeter [x22] IS high,0.8531,0.8725,high,mean radius [x0]
s1_27,mean radius [x0] IS high,worst perimeter [x22] IS mid,worst perimeter [x22] IS high,0.2921,0.8725,mid,worst perimeter [x22]
s1_27,mean radius [x0] IS high,worst perimeter [x22] IS mid,worst perimeter [x22] IS high,0.0563,0.1257,high,worst perimeter [x22]
s1_21,worst fractal dimension [x29] IS mid,worst symmetry [x28] IS mid,,0.6876,0.4616,mid,worst fractal dimension [x29]
s1_21,worst fractal dimension [x29] IS mid,worst symmetry [x28] IS mid,,0.3274,0.1883,mid,worst symmetry [x28]
s1_21,worst fractal dimension [x29] IS mid,worst symmetry [x28] IS mid,,,,,
