dataset,seed,budget,sample_index,concept_name,signed_contribution,top_predicate_1,top_predicate_2,top_predicate_3,predicate_activation,predicate_weight,term_label,feature_name
covtype_binary_20000,23,400,1082,ka_concept_1.c0,-0.612899124622345,Horizontal_Distance_To_Hydrology IS LOW,Horizontal_Distance_To_Roadways IS MEDIUM,Soil_Type_22 IS absent,1.0,0.205604,LOW,Horizontal_Distance_To_Hydrology
covtype_binary_20000,23,400,1082,ka_concept_1.c0,-0.612899124622345,Horizontal_Distance_To_Hydrology IS LOW,Horizontal_Distance_To_Roadways IS MEDIUM,Soil_Type_22 IS absent,0.862045,0.202119,MEDIUM,Horizontal_Distance_To_Roadways
covtype_binary_20000,23,400,1082,ka_concept_1.c0,-0.612899124622345,Horizontal_Distance_To_Hydrology IS LOW,Horizontal_Distance_To_Roadways IS MEDIUM,Soil_Type_22 IS absent,0.539408,-0.239188,absent,Soil_Type_22
covtype_binary_20000,23,400,1082,ka_concept_2.c5,-0.541970431804657,ka_concept_1.c0 IS HIGH,ka_concept_1.c1 IS LOW,ka_concept_1.c14 IS LOW,0.942516,0.692155,HIGH,ka_concept_1.c0
covtype_binary_20000,23,400,1082,ka_concept_2.c5,-0.541970431804657,ka_concept_1.c0 IS HIGH,ka_concept_1.c1 IS LOW,ka_concept_1.c14 IS LOW,0.737137,0.754471,LOW,ka_concept_1.c1
covtype_binary_20000,23,400,1082,ka_concept_2.c5,-0.541970431804657,ka_concept_1.c0 IS HIGH,ka_concept_1.c1 IS LOW,ka_concept_1.c14 IS LOW,0.915374,0.471148,LOW,ka_concept_1.c14
covtype_binary_20000,23,400,1082,ka_concept_1.c15,-0.43706461787223816,Horizontal_Distance_To_Hydrology IS LOW,Horizontal_Distance_To_Roadways IS MEDIUM,Horizontal_Distance_To_Fire_Points IS LOW,1.0,0.291803,LOW,Horizontal_Distance_To_Hydrology
covtype_binary_20000,23,400,1082,ka_concept_1.c15,-0.43706461787223816,Horizontal_Distance_To_Hydrology IS LOW,Horizontal_Distance_To_Roadways IS MEDIUM,Horizontal_Distance_To_Fire_Points IS LOW,0.862045,0.276506,MEDIUM,Horizontal_Distance_To_Roadways
covtype_binary_20000,23,400,1082,ka_concept_1.c15,-0.43706461787223816,Horizontal_Distance_To_Hydrology IS LOW,Horizontal_Distance_To_Roadways IS MEDIUM,Horizontal_Distance_To_Fire_Points IS LOW,0.982562,0.208315,LOW,Horizontal_Distance_To_Fire_Points
covtype_binary_20000,23,400,1082,ka_concept_1.c10,-0.4087829887866974,Horizontal_Distance_To_Roadways IS MEDIUM,Horizontal_Distance_To_Hydrology IS LOW,Soil_Type_12 IS absent,0.862045,0.296201,MEDIUM,Horizontal_Distance_To_Roadways
covtype_binary_20000,23,400,1082,ka_concept_1.c10,-0.4087829887866974,Horizontal_Distance_To_Roadways IS MEDIUM,Horizontal_Distance_To_Hydrology IS LOW,Soil_Type_12 IS absent,1.0,0.251339,LOW,Horizontal_Distance_To_Hydrology
covtype_binary_20000,23,400,1082,ka_concept_1.c10,-0.4087829887866974,Horizontal_Distance_To_Roadways IS MEDIUM,Horizontal_Distance_To_Hydrology IS LOW,Soil_Type_12 IS absent,0.539408,0.367081,absent,Soil_Type_12
covtype_binary_20000,23,400,1082,ka_concept_1.c5,-0.3908473551273346,Horizontal_Distance_To_Fire_Points IS LOW,Horizontal_Distance_To_Hydrology IS LOW,Soil_Type_29 IS absent,0.982562,0.251799,LOW,Horizontal_Distance_To_Fire_Points
covtype_binary_20000,23,400,1082,ka_concept_1.c5,-0.3908473551273346,Horizontal_Distance_To_Fire_Points IS LOW,Horizontal_Distance_To_Hydrology IS LOW,Soil_Type_29 IS absent,1.0,0.240854,LOW,Horizontal_Distance_To_Hydrology
covtype_binary_20000,23,400,1082,ka_concept_1.c5,-0.3908473551273346,Horizontal_Distance_To_Fire_Points IS LOW,Horizontal_Distance_To_Hydrology IS LOW,Soil_Type_29 IS absent,0.539408,0.308188,absent,Soil_Type_29
