dataset,budget,method,f1_mean,f1_std,n_seeds,f1_ci95_low_boot,f1_ci95_high_boot
breast_cancer,100,budget_prune,0.9536,0.0181,6,0.9415333333333334,0.9656666666666668
breast_cancer,100,gate_l1,0.9617,0.0138,6,0.9524999999999998,0.9709000000000002
breast_cancer,100,rulefit,0.9587,0.0147,6,0.9489,0.9685
breast_cancer,200,budget_prune,0.962,0.0163,6,0.9511333333333333,0.9728666666666667
breast_cancer,200,gate_l1,0.9688,0.0144,6,0.9591999999999999,0.9784
breast_cancer,200,rulefit,0.9603,0.0098,6,0.9537666666666667,0.9668333333333335
breast_cancer,400,budget_prune,0.9642,0.0141,6,0.9548,0.9735999999999999
breast_cancer,400,gate_l1,0.97,0.0169,6,0.9587333333333333,0.9812666666666668
breast_cancer,400,rulefit,0.9578,0.0118,6,0.9499333333333332,0.9656666666666666
covtype_binary_20000,100,budget_prune,0.7812,0.0083,3,0.7729,0.7895
covtype_binary_20000,100,gate_l1,0.7881,0.0043,3,0.7837999999999999,0.7924000000000001
covtype_binary_20000,200,budget_prune,0.7917,0.0104,3,0.7813,0.8020999999999999
covtype_binary_20000,200,gate_l1,0.7916,0.0028,3,0.7887999999999998,0.7944
covtype_binary_20000,400,budget_prune,0.8044,0.0098,3,0.7946,0.8142
covtype_binary_20000,400,gate_l1,0.7939,0.0054,3,0.7885000000000001,0.7993
susy_binary_200000,100,rulefit,0.7298,0.0016,6,0.7287333333333333,0.7308666666666667
susy_binary_200000,200,rulefit,0.7322,0.0015,6,0.7312,0.7332
susy_binary_200000,400,rulefit,0.7318,0.0019,6,0.7305333333333333,0.7330666666666666
