dataset,budget,seed,n_estimators,tree_size_or_max_depth,max_rules,alpha_or_regularization,train_size,val_size,test_size,random_state,elapsed_sec,status
breast_cancer,100,7,default,default,100,default,0.6,0.2,0.2,7,0.9946255683898926,done
breast_cancer,100,19,default,default,100,default,0.6,0.2,0.2,19,1.1313860416412354,done
breast_cancer,100,23,default,default,100,default,0.6,0.2,0.2,23,1.0119855403900146,done
breast_cancer,100,29,default,default,100,default,0.6,0.2,0.2,29,1.0345523357391357,done
breast_cancer,100,42,default,default,100,default,0.6,0.2,0.2,42,1.0221731662750244,done
breast_cancer,100,101,default,default,100,default,0.6,0.2,0.2,101,1.008594274520874,done
breast_cancer,200,7,default,default,200,default,0.6,0.2,0.2,7,1.18748140335083,done
breast_cancer,200,19,default,default,200,default,0.6,0.2,0.2,19,1.2121469974517822,done
breast_cancer,200,23,default,default,200,default,0.6,0.2,0.2,23,1.1766417026519775,done
breast_cancer,200,29,default,default,200,default,0.6,0.2,0.2,29,1.2327394485473633,done
breast_cancer,200,42,default,default,200,default,0.6,0.2,0.2,42,1.1684753894805908,done
breast_cancer,200,101,default,default,200,default,0.6,0.2,0.2,101,1.240058422088623,done
breast_cancer,400,7,default,default,400,default,0.6,0.2,0.2,7,1.3310644626617432,done
breast_cancer,400,19,default,default,400,default,0.6,0.2,0.2,19,1.3720173835754395,done
breast_cancer,400,23,default,default,400,default,0.6,0.2,0.2,23,1.2953815460205078,done
breast_cancer,400,29,default,default,400,default,0.6,0.2,0.2,29,1.2991790771484375,done
breast_cancer,400,42,default,default,400,default,0.6,0.2,0.2,42,1.3180978298187256,done
breast_cancer,400,101,default,default,400,default,0.6,0.2,0.2,101,1.3222672939300537,done
susy_binary_200000,100,7,default,default,100,default,0.6,0.2,0.2,7,298.43545389175415,done
susy_binary_200000,100,19,default,default,100,default,0.6,0.2,0.2,19,363.773401260376,done
susy_binary_200000,100,23,default,default,100,default,0.6,0.2,0.2,23,439.21912384033203,done
susy_binary_200000,100,29,default,default,100,default,0.6,0.2,0.2,29,325.4339611530304,done
susy_binary_200000,100,42,default,default,100,default,0.6,0.2,0.2,42,483.8986041545868,done
susy_binary_200000,100,101,default,default,100,default,0.6,0.2,0.2,101,420.5277006626129,done
susy_binary_200000,200,7,default,default,200,default,0.6,0.2,0.2,7,1097.6606531143188,done
susy_binary_200000,200,19,default,default,200,default,0.6,0.2,0.2,19,1170.6890058517456,done
susy_binary_200000,200,23,default,default,200,default,0.6,0.2,0.2,23,1224.5540215969086,done
susy_binary_200000,200,29,default,default,200,default,0.6,0.2,0.2,29,1780.21049451828,done
susy_binary_200000,200,42,default,default,200,default,0.6,0.2,0.2,42,1468.567536354065,done
susy_binary_200000,200,101,default,default,200,default,0.6,0.2,0.2,101,1432.1048064231873,done
susy_binary_200000,400,7,default,default,400,default,0.6,0.2,0.2,7,13442.826728343964,done
susy_binary_200000,400,19,default,default,400,default,0.6,0.2,0.2,19,14104.15555024147,done
susy_binary_200000,400,23,default,default,400,default,0.6,0.2,0.2,23,14317.590638160706,done
susy_binary_200000,400,29,default,default,400,default,0.6,0.2,0.2,29,19597.489739894867,done
susy_binary_200000,400,42,default,default,400,default,0.6,0.2,0.2,42,13834.815095186234,done
