dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
covtype_binary_20000,1,25,0.75,1,9,424,18.001515209906387,0
covtype_binary_20000,1,25,0.75,2,12,563,18.043911706100044,1
covtype_binary_20000,1,25,0.75,3,16,466,18.043911706100044,1
covtype_binary_20000,1,25,0.75,4,18,101,18.043911706100044,1
covtype_binary_20000,1,25,0.75,5,3,295,18.02199090177309,0
covtype_binary_20000,1,25,0.75,6,6,539,18.043911706100044,1
covtype_binary_20000,1,25,0.75,7,23,491,18.043911706100044,1
covtype_binary_20000,1,25,0.75,8,1,129,0.3126433159738376,0
covtype_binary_20000,1,25,0.75,9,7,661,18.043911706100044,1
covtype_binary_20000,1,25,0.75,10,2,182,0.27242631377089327,0
covtype_binary_20000,1,25,0.75,11,12,643,18.043911706100044,1
covtype_binary_20000,1,25,0.75,12,12,467,18.043911706100044,1
covtype_binary_20000,1,25,0.75,13,6,460,18.043911706100044,1
covtype_binary_20000,1,25,0.75,14,12,767,18.043911706100044,1
covtype_binary_20000,1,25,0.75,15,8,5,18.01266436528935,0
covtype_binary_20000,1,25,0.75,16,8,15,17.14490337500966,0
covtype_binary_20000,1,25,0.75,17,9,20,17.79361485075294,0
covtype_binary_20000,1,25,0.75,18,6,646,18.043911706100044,1
covtype_binary_20000,1,25,0.75,19,6,550,18.043911706100044,1
covtype_binary_20000,1,25,0.75,20,12,868,18.021140297940615,0
covtype_binary_20000,1,25,0.75,21,32,594,18.043911706100044,1
covtype_binary_20000,1,25,0.75,22,1,376,1.0133269228547188,0
covtype_binary_20000,1,25,0.75,23,6,681,18.043911706100044,1
covtype_binary_20000,1,25,0.75,24,7,386,17.909542006082003,0
covtype_binary_20000,1,25,0.75,25,16,2,18.043911706100044,1
covtype_binary_20000,1,25,0.75,26,8,59,18.042180720483078,0
covtype_binary_20000,1,25,0.75,27,8,392,17.751709080159646,0
covtype_binary_20000,1,25,0.75,28,19,86,18.043911706100044,1
covtype_binary_20000,1,25,0.75,29,6,888,18.043911706100044,1
covtype_binary_20000,1,25,0.75,30,6,823,18.043911706100044,1
covtype_binary_20000,1,25,0.75,31,3,54,16.29367781817849,0
covtype_binary_20000,1,25,0.75,32,6,579,18.043911706100044,1
covtype_binary_20000,1,25,0.75,33,12,246,5.202202816255595,0
covtype_binary_20000,1,25,0.75,34,4,19,16.80401194641459,0
covtype_binary_20000,1,25,0.75,35,12,398,18.043911706100044,1
covtype_binary_20000,1,25,0.75,36,12,92,13.93823358782492,0
covtype_binary_20000,1,25,0.75,37,6,701,18.043911706100044,1
covtype_binary_20000,1,25,0.75,38,9,102,18.01718767620237,0
covtype_binary_20000,1,25,0.75,39,9,24,17.497511638896984,0
covtype_binary_20000,1,25,0.75,40,6,110,17.122506922932203,0
covtype_binary_20000,1,25,0.75,41,6,703,18.043911706100044,1
covtype_binary_20000,1,25,0.75,42,12,597,18.043911706100044,1
covtype_binary_20000,1,25,0.75,43,11,154,8.235243659596488,0
covtype_binary_20000,1,25,0.75,44,12,810,18.043911706100044,1
covtype_binary_20000,1,25,0.75,45,8,116,17.87014059711519,0
covtype_binary_20000,1,25,0.75,46,12,565,18.043911706100044,0
covtype_binary_20000,1,25,0.75,47,6,518,18.043911706100044,0
covtype_binary_20000,1,25,0.75,48,5,237,1.5653665294789825,0
covtype_binary_20000,1,25,0.75,49,40,164,16.961098926875486,0
covtype_binary_20000,1,25,0.75,50,9,67,17.086411156266234,0
covtype_binary_20000,1,25,0.75,51,1,794,0.26867962596811795,0
covtype_binary_20000,1,25,0.75,52,12,716,18.043911706100044,0
covtype_binary_20000,1,25,0.75,53,42,43,16.64798911781303,0
covtype_binary_20000,1,25,0.75,54,19,782,18.043911706100044,0
covtype_binary_20000,1,25,0.75,55,7,108,3.9352458401589545,0
covtype_binary_20000,1,25,0.75,56,6,695,18.043911706100044,0
covtype_binary_20000,1,25,0.75,57,18,48,18.043911706100044,0
covtype_binary_20000,1,25,0.75,58,12,166,10.01889193515504,0
covtype_binary_20000,1,25,0.75,59,6,549,18.043911706100044,0
covtype_binary_20000,1,25,0.75,60,9,0,18.043911707128586,1
covtype_binary_20000,1,25,0.75,61,12,693,17.954165348970545,0
covtype_binary_20000,1,25,0.75,62,20,522,18.043911706100044,0
covtype_binary_20000,1,25,0.75,63,42,109,9.624459405238929,0
covtype_binary_20000,1,25,0.75,64,43,98,8.23107596707006,0
covtype_binary_20000,1,25,0.75,65,2,438,0.1842764383127507,0
covtype_binary_20000,1,25,0.75,66,7,458,18.043911706100044,0
covtype_binary_20000,1,25,0.75,67,7,685,18.043911706100044,0
covtype_binary_20000,1,25,0.75,68,9,104,17.40763229263146,0
covtype_binary_20000,1,25,0.75,69,9,411,17.899200462712717,0
covtype_binary_20000,1,25,0.75,70,9,359,18.043911706100044,0
covtype_binary_20000,1,25,0.75,71,13,609,18.043911706100044,0
covtype_binary_20000,1,25,0.75,72,9,64,17.727508543339656,0
covtype_binary_20000,1,25,0.75,73,1,32,0.011170629727558556,0
covtype_binary_20000,1,25,0.75,74,1,373,-0.0015440225379488304,0
covtype_binary_20000,1,25,0.75,75,6,722,18.043911706100044,0
covtype_binary_20000,1,25,0.75,76,12,847,18.043911706100044,0
covtype_binary_20000,1,25,0.75,77,7,786,18.043911706100044,0
covtype_binary_20000,1,25,0.75,78,9,212,17.724094822006773,0
covtype_binary_20000,1,25,0.75,79,1,477,0.013345839433149376,0
covtype_binary_20000,1,25,0.75,80,12,34,16.993715250450094,0
covtype_binary_20000,1,25,0.75,81,6,830,18.043911706100044,0
covtype_binary_20000,1,25,0.75,82,7,554,17.884171267914102,0
covtype_binary_20000,1,25,0.75,83,12,53,16.220746777190833,0
covtype_binary_20000,1,25,0.75,84,6,835,18.043911706100044,0
covtype_binary_20000,1,25,0.75,85,6,667,18.043911706100044,0
covtype_binary_20000,1,25,0.75,86,10,89,15.704573650026425,0
covtype_binary_20000,1,25,0.75,87,7,107,18.013233508478233,0
covtype_binary_20000,1,25,0.75,88,7,175,17.546315518794454,0
covtype_binary_20000,1,25,0.75,89,7,216,17.607427386490198,0
covtype_binary_20000,1,25,0.75,90,8,226,17.949511542844817,0
covtype_binary_20000,1,25,0.85,1,9,424,18.001515209906387,0
covtype_binary_20000,1,25,0.85,2,12,563,18.043911706100044,1
covtype_binary_20000,1,25,0.85,3,15,466,18.043911706100044,1
covtype_binary_20000,1,25,0.85,4,1,103,0.0016685233301324542,0
covtype_binary_20000,1,25,0.85,5,18,101,18.043911706100044,1
covtype_binary_20000,1,25,0.85,6,3,295,18.02199090177309,0
covtype_binary_20000,1,25,0.85,7,6,539,18.043911706100044,1
covtype_binary_20000,1,25,0.85,8,23,491,18.043911706100044,1
covtype_binary_20000,1,25,0.85,9,1,129,0.3126433159738376,0
covtype_binary_20000,1,25,0.85,10,7,661,18.043911706100044,1
covtype_binary_20000,1,25,0.85,11,2,182,0.27242631377089327,0
