dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard
covtype_binary_20000,25,budget_prune,na,1,7,0.25
covtype_binary_20000,25,budget_prune,na,1,13,0.19047619047619047
covtype_binary_20000,25,budget_prune,na,1,19,0.1111111111111111
covtype_binary_20000,25,budget_prune,na,1,23,0.08695652173913043
covtype_binary_20000,25,budget_prune,na,1,29,0.06382978723404255
covtype_binary_20000,25,budget_prune,na,1,31,0.19047619047619047
covtype_binary_20000,25,budget_prune,na,1,37,0.13636363636363635
covtype_binary_20000,25,budget_prune,na,1,41,0.21951219512195122
covtype_binary_20000,25,budget_prune,na,1,43,0.13636363636363635
covtype_binary_20000,25,budget_prune,na,7,13,0.16279069767441862
covtype_binary_20000,25,budget_prune,na,7,19,0.13636363636363635
covtype_binary_20000,25,budget_prune,na,7,23,0.08695652173913043
covtype_binary_20000,25,budget_prune,na,7,29,0.13636363636363635
covtype_binary_20000,25,budget_prune,na,7,31,0.16279069767441862
covtype_binary_20000,25,budget_prune,na,7,37,0.1111111111111111
covtype_binary_20000,25,budget_prune,na,7,41,0.35135135135135137
covtype_binary_20000,25,budget_prune,na,7,43,0.13636363636363635
covtype_binary_20000,25,budget_prune,na,13,19,0.06382978723404255
covtype_binary_20000,25,budget_prune,na,13,23,0.06382978723404255
covtype_binary_20000,25,budget_prune,na,13,29,0.02040816326530612
covtype_binary_20000,25,budget_prune,na,13,31,0.21951219512195122
covtype_binary_20000,25,budget_prune,na,13,37,0.16279069767441862
covtype_binary_20000,25,budget_prune,na,13,41,0.1111111111111111
covtype_binary_20000,25,budget_prune,na,13,43,0.21951219512195122
covtype_binary_20000,25,budget_prune,na,19,23,0.25
covtype_binary_20000,25,budget_prune,na,19,29,0.25
covtype_binary_20000,25,budget_prune,na,19,31,0.08695652173913043
covtype_binary_20000,25,budget_prune,na,19,37,0.19047619047619047
covtype_binary_20000,25,budget_prune,na,19,41,0.041666666666666664
covtype_binary_20000,25,budget_prune,na,19,43,0.16279069767441862
covtype_binary_20000,25,budget_prune,na,23,29,0.3888888888888889
covtype_binary_20000,25,budget_prune,na,23,31,0.041666666666666664
covtype_binary_20000,25,budget_prune,na,23,37,0.08695652173913043
covtype_binary_20000,25,budget_prune,na,23,41,0.16279069767441862
covtype_binary_20000,25,budget_prune,na,23,43,0.08695652173913043
covtype_binary_20000,25,budget_prune,na,29,31,0.06382978723404255
covtype_binary_20000,25,budget_prune,na,29,37,0.16279069767441862
covtype_binary_20000,25,budget_prune,na,29,41,0.13636363636363635
covtype_binary_20000,25,budget_prune,na,29,43,0.21951219512195122
covtype_binary_20000,25,budget_prune,na,31,37,0.13636363636363635
covtype_binary_20000,25,budget_prune,na,31,41,0.1111111111111111
covtype_binary_20000,25,budget_prune,na,31,43,0.21951219512195122
covtype_binary_20000,25,budget_prune,na,37,41,0.08695652173913043
covtype_binary_20000,25,budget_prune,na,37,43,0.28205128205128205
covtype_binary_20000,25,budget_prune,na,41,43,0.1111111111111111
covtype_binary_20000,25,loro_bce,na,1,7,0.19047619047619047
covtype_binary_20000,25,loro_bce,na,1,13,0.28205128205128205
covtype_binary_20000,25,loro_bce,na,1,19,0.13636363636363635
covtype_binary_20000,25,loro_bce,na,1,23,0.13636363636363635
covtype_binary_20000,25,loro_bce,na,1,29,0.1111111111111111
covtype_binary_20000,25,loro_bce,na,1,31,0.16279069767441862
covtype_binary_20000,25,loro_bce,na,1,37,0.25
covtype_binary_20000,25,loro_bce,na,1,41,0.19047619047619047
covtype_binary_20000,25,loro_bce,na,1,43,0.25
covtype_binary_20000,25,loro_bce,na,7,13,0.25
covtype_binary_20000,25,loro_bce,na,7,19,0.08695652173913043
covtype_binary_20000,25,loro_bce,na,7,23,0.08695652173913043
covtype_binary_20000,25,loro_bce,na,7,29,0.08695652173913043
