dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard
breast_cancer,25,budget_prune,na,19,23,0.3157894736842105
breast_cancer,25,budget_prune,na,19,29,0.16279069767441862
breast_cancer,25,budget_prune,na,23,29,0.3157894736842105
breast_cancer,25,loro_bce,na,19,23,0.3157894736842105
breast_cancer,25,loro_bce,na,19,29,0.25
breast_cancer,25,loro_bce,na,23,29,0.28205128205128205
breast_cancer,25,c_prune_loro_bce,0.75,19,23,0.0
breast_cancer,25,c_prune_loro_bce,0.75,19,29,0.0
breast_cancer,25,c_prune_loro_bce,0.75,23,29,0.1
breast_cancer,25,c_prune_loro_bce,0.85,19,23,0.0
breast_cancer,25,c_prune_loro_bce,0.85,19,29,0.0
breast_cancer,25,c_prune_loro_bce,0.85,23,29,0.09090909090909091
breast_cancer,25,c_prune_loro_bce,0.9,19,23,0.0
breast_cancer,25,c_prune_loro_bce,0.9,19,29,0.0
breast_cancer,25,c_prune_loro_bce,0.9,23,29,0.08333333333333333
breast_cancer,50,budget_prune,na,19,23,0.6949152542372882
breast_cancer,50,budget_prune,na,19,29,0.639344262295082
breast_cancer,50,budget_prune,na,23,29,0.6129032258064516
breast_cancer,50,loro_bce,na,19,23,0.6666666666666666
breast_cancer,50,loro_bce,na,19,29,0.639344262295082
breast_cancer,50,loro_bce,na,23,29,0.6666666666666666
breast_cancer,50,c_prune_loro_bce,0.75,19,23,0.0
breast_cancer,50,c_prune_loro_bce,0.75,19,29,0.0
breast_cancer,50,c_prune_loro_bce,0.75,23,29,0.1
breast_cancer,50,c_prune_loro_bce,0.85,19,23,0.0
breast_cancer,50,c_prune_loro_bce,0.85,19,29,0.0
breast_cancer,50,c_prune_loro_bce,0.85,23,29,0.09090909090909091
breast_cancer,50,c_prune_loro_bce,0.9,19,23,0.0
breast_cancer,50,c_prune_loro_bce,0.9,19,29,0.0
breast_cancer,50,c_prune_loro_bce,0.9,23,29,0.08333333333333333
