dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard
breast_cancer,25,budget_prune,na,19,23,0.13636363636363635
breast_cancer,25,budget_prune,na,19,29,0.041666666666666664
breast_cancer,25,budget_prune,na,23,29,0.041666666666666664
breast_cancer,25,loro_bce,na,19,23,0.08695652173913043
breast_cancer,25,loro_bce,na,19,29,0.041666666666666664
breast_cancer,25,loro_bce,na,23,29,0.08695652173913043
breast_cancer,25,c_prune_loro_bce,0.75,19,23,0.08823529411764706
breast_cancer,25,c_prune_loro_bce,0.75,19,29,0.0
breast_cancer,25,c_prune_loro_bce,0.75,23,29,0.10810810810810811
breast_cancer,25,c_prune_loro_bce,0.85,19,23,0.07142857142857142
breast_cancer,25,c_prune_loro_bce,0.85,19,29,0.06382978723404255
breast_cancer,25,c_prune_loro_bce,0.85,23,29,0.046511627906976744
breast_cancer,25,c_prune_loro_bce,0.9,19,23,0.13636363636363635
breast_cancer,25,c_prune_loro_bce,0.9,19,29,0.06382978723404255
breast_cancer,25,c_prune_loro_bce,0.9,23,29,0.06382978723404255
breast_cancer,25,c_prune_loro_bce,0.95,19,23,0.08695652173913043
breast_cancer,25,c_prune_loro_bce,0.95,19,29,0.06382978723404255
breast_cancer,25,c_prune_loro_bce,0.95,23,29,0.08695652173913043
breast_cancer,50,budget_prune,na,19,23,0.14942528735632185
breast_cancer,50,budget_prune,na,19,29,0.13636363636363635
breast_cancer,50,budget_prune,na,23,29,0.21951219512195122
breast_cancer,50,loro_bce,na,19,23,0.13636363636363635
breast_cancer,50,loro_bce,na,19,29,0.14942528735632185
breast_cancer,50,loro_bce,na,23,29,0.20481927710843373
breast_cancer,50,c_prune_loro_bce,0.75,19,23,0.08823529411764706
breast_cancer,50,c_prune_loro_bce,0.75,19,29,0.0
breast_cancer,50,c_prune_loro_bce,0.75,23,29,0.10810810810810811
breast_cancer,50,c_prune_loro_bce,0.85,19,23,0.06382978723404255
breast_cancer,50,c_prune_loro_bce,0.85,19,29,0.08064516129032258
breast_cancer,50,c_prune_loro_bce,0.85,23,29,0.09615384615384616
breast_cancer,50,c_prune_loro_bce,0.9,19,23,0.11290322580645161
breast_cancer,50,c_prune_loro_bce,0.9,19,29,0.1375
breast_cancer,50,c_prune_loro_bce,0.9,23,29,0.08823529411764706
breast_cancer,50,c_prune_loro_bce,0.95,19,23,0.18181818181818182
breast_cancer,50,c_prune_loro_bce,0.95,19,29,0.12359550561797752
breast_cancer,50,c_prune_loro_bce,0.95,23,29,0.12345679012345678
breast_cancer,100,budget_prune,na,19,23,0.3333333333333333
breast_cancer,100,budget_prune,na,19,29,0.3333333333333333
breast_cancer,100,budget_prune,na,23,29,0.3793103448275862
breast_cancer,100,loro_bce,na,19,23,0.30718954248366015
breast_cancer,100,loro_bce,na,19,29,0.3157894736842105
breast_cancer,100,loro_bce,na,23,29,0.41843971631205673
breast_cancer,100,c_prune_loro_bce,0.75,19,23,0.08823529411764706
breast_cancer,100,c_prune_loro_bce,0.75,19,29,0.0
breast_cancer,100,c_prune_loro_bce,0.75,23,29,0.10810810810810811
breast_cancer,100,c_prune_loro_bce,0.85,19,23,0.06382978723404255
breast_cancer,100,c_prune_loro_bce,0.85,19,29,0.08064516129032258
breast_cancer,100,c_prune_loro_bce,0.85,23,29,0.09615384615384616
breast_cancer,100,c_prune_loro_bce,0.9,19,23,0.11290322580645161
breast_cancer,100,c_prune_loro_bce,0.9,19,29,0.1375
breast_cancer,100,c_prune_loro_bce,0.9,23,29,0.08823529411764706
breast_cancer,100,c_prune_loro_bce,0.95,19,23,0.19101123595505617
breast_cancer,100,c_prune_loro_bce,0.95,19,29,0.20535714285714285
breast_cancer,100,c_prune_loro_bce,0.95,23,29,0.14432989690721648
