dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
covtype_binary_20000,25,budget_prune,0.75,1,7,0.25,0.7142857142857143
covtype_binary_20000,25,budget_prune,0.75,1,13,0.19047619047619047,0.625
covtype_binary_20000,25,budget_prune,0.75,1,19,0.1111111111111111,0.5
covtype_binary_20000,25,budget_prune,0.75,1,23,0.08695652173913043,0.5
covtype_binary_20000,25,budget_prune,0.75,1,29,0.06382978723404255,0.375
covtype_binary_20000,25,budget_prune,0.75,1,31,0.19047619047619047,0.5714285714285714
covtype_binary_20000,25,budget_prune,0.75,1,37,0.13636363636363635,0.625
covtype_binary_20000,25,budget_prune,0.75,1,41,0.21951219512195122,0.7142857142857143
covtype_binary_20000,25,budget_prune,0.75,1,43,0.13636363636363635,0.5714285714285714
covtype_binary_20000,25,budget_prune,0.75,7,13,0.16279069767441862,0.5714285714285714
covtype_binary_20000,25,budget_prune,0.75,7,19,0.13636363636363635,0.42857142857142855
covtype_binary_20000,25,budget_prune,0.75,7,23,0.08695652173913043,0.42857142857142855
covtype_binary_20000,25,budget_prune,0.75,7,29,0.13636363636363635,0.5
covtype_binary_20000,25,budget_prune,0.75,7,31,0.16279069767441862,0.8
covtype_binary_20000,25,budget_prune,0.75,7,37,0.1111111111111111,0.5714285714285714
covtype_binary_20000,25,budget_prune,0.75,7,41,0.35135135135135137,1.0
covtype_binary_20000,25,budget_prune,0.75,7,43,0.13636363636363635,0.8
covtype_binary_20000,25,budget_prune,0.75,13,19,0.06382978723404255,0.375
covtype_binary_20000,25,budget_prune,0.75,13,23,0.06382978723404255,0.8333333333333334
covtype_binary_20000,25,budget_prune,0.75,13,29,0.02040816326530612,0.42857142857142855
covtype_binary_20000,25,budget_prune,0.75,13,31,0.21951219512195122,0.6666666666666666
covtype_binary_20000,25,budget_prune,0.75,13,37,0.16279069767441862,0.7142857142857143
covtype_binary_20000,25,budget_prune,0.75,13,41,0.1111111111111111,0.5714285714285714
covtype_binary_20000,25,budget_prune,0.75,13,43,0.21951219512195122,0.6666666666666666
covtype_binary_20000,25,budget_prune,0.75,19,23,0.25,0.42857142857142855
covtype_binary_20000,25,budget_prune,0.75,19,29,0.25,0.5
covtype_binary_20000,25,budget_prune,0.75,19,31,0.08695652173913043,0.5
covtype_binary_20000,25,budget_prune,0.75,19,37,0.19047619047619047,0.5714285714285714
covtype_binary_20000,25,budget_prune,0.75,19,41,0.041666666666666664,0.42857142857142855
