dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
breast_cancer,25,budget_prune,0.75,19,23,0.08695652173913043,0.8333333333333334
breast_cancer,25,budget_prune,0.75,19,29,0.06382978723404255,0.6666666666666666
breast_cancer,25,budget_prune,0.75,23,29,0.08695652173913043,0.8333333333333334
breast_cancer,25,loro_bce,0.75,19,23,0.13636363636363635,0.8333333333333334
breast_cancer,25,loro_bce,0.75,19,29,0.08695652173913043,0.6666666666666666
breast_cancer,25,loro_bce,0.75,23,29,0.06382978723404255,0.8333333333333334
breast_cancer,25,c_prune_loro_bce,0.75,19,23,0.041666666666666664,0.6
breast_cancer,25,c_prune_loro_bce,0.75,19,29,0.0,0.6
breast_cancer,25,c_prune_loro_bce,0.75,23,29,0.06666666666666667,0.6
breast_cancer,50,budget_prune,0.75,19,23,0.3157894736842105,0.8333333333333334
breast_cancer,50,budget_prune,0.75,19,29,0.2345679012345679,0.6666666666666666
breast_cancer,50,budget_prune,0.75,23,29,0.20481927710843373,0.8333333333333334
breast_cancer,50,loro_bce,0.75,19,23,0.28205128205128205,0.8333333333333334
breast_cancer,50,loro_bce,0.75,19,29,0.20481927710843373,0.6666666666666666
breast_cancer,50,loro_bce,0.75,23,29,0.2345679012345679,0.8333333333333334
breast_cancer,50,c_prune_loro_bce,0.75,19,23,0.041666666666666664,0.6
breast_cancer,50,c_prune_loro_bce,0.75,19,29,0.0,0.6
breast_cancer,50,c_prune_loro_bce,0.75,23,29,0.06666666666666667,0.6
breast_cancer,100,budget_prune,0.75,19,23,0.6528925619834711,0.8333333333333334
breast_cancer,100,budget_prune,0.75,19,29,0.5873015873015873,0.6666666666666666
breast_cancer,100,budget_prune,0.75,23,29,0.6666666666666666,0.8333333333333334
breast_cancer,100,loro_bce,0.75,19,23,0.6528925619834711,0.8333333333333334
breast_cancer,100,loro_bce,0.75,19,29,0.6666666666666666,0.6666666666666666
breast_cancer,100,loro_bce,0.75,23,29,0.6528925619834711,0.8333333333333334
