dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
breast_cancer,25,budget_prune,0.75,19,23,0.13636363636363635,1.0
breast_cancer,25,budget_prune,0.75,19,29,0.041666666666666664,1.0
breast_cancer,25,budget_prune,0.75,23,29,0.041666666666666664,1.0
breast_cancer,25,loro_bce,0.75,19,23,0.08695652173913043,1.0
breast_cancer,25,loro_bce,0.75,19,29,0.041666666666666664,1.0
breast_cancer,25,loro_bce,0.75,23,29,0.08695652173913043,1.0
breast_cancer,25,c_prune_loro_bce,0.75,19,23,0.08823529411764706,1.0
breast_cancer,25,c_prune_loro_bce,0.75,19,29,0.0,1.0
breast_cancer,25,c_prune_loro_bce,0.75,23,29,0.10810810810810811,1.0
breast_cancer,50,budget_prune,0.75,19,23,0.14942528735632185,1.0
breast_cancer,50,budget_prune,0.75,19,29,0.13636363636363635,1.0
breast_cancer,50,budget_prune,0.75,23,29,0.21951219512195122,1.0
breast_cancer,50,loro_bce,0.75,19,23,0.13636363636363635,1.0
breast_cancer,50,loro_bce,0.75,19,29,0.14942528735632185,1.0
breast_cancer,50,loro_bce,0.75,23,29,0.20481927710843373,1.0
breast_cancer,50,c_prune_loro_bce,0.75,19,23,0.08823529411764706,1.0
breast_cancer,50,c_prune_loro_bce,0.75,19,29,0.0,1.0
breast_cancer,50,c_prune_loro_bce,0.75,23,29,0.10810810810810811,1.0
breast_cancer,100,budget_prune,0.75,19,23,0.3333333333333333,1.0
breast_cancer,100,budget_prune,0.75,19,29,0.3333333333333333,1.0
breast_cancer,100,budget_prune,0.75,23,29,0.3793103448275862,1.0
breast_cancer,100,loro_bce,0.75,19,23,0.30718954248366015,1.0
breast_cancer,100,loro_bce,0.75,19,29,0.3157894736842105,1.0
breast_cancer,100,loro_bce,0.75,23,29,0.41843971631205673,1.0
breast_cancer,100,c_prune_loro_bce,0.75,19,23,0.08823529411764706,1.0
breast_cancer,100,c_prune_loro_bce,0.75,19,29,0.0,1.0
breast_cancer,100,c_prune_loro_bce,0.75,23,29,0.10810810810810811,1.0
breast_cancer,25,budget_prune,0.85,19,23,0.13636363636363635,0.7142857142857143
breast_cancer,25,budget_prune,0.85,19,29,0.041666666666666664,0.8571428571428571
breast_cancer,25,budget_prune,0.85,23,29,0.041666666666666664,0.8571428571428571
breast_cancer,25,loro_bce,0.85,19,23,0.08695652173913043,0.8571428571428571
breast_cancer,25,loro_bce,0.85,19,29,0.041666666666666664,0.8571428571428571
breast_cancer,25,loro_bce,0.85,23,29,0.08695652173913043,1.0
breast_cancer,25,c_prune_loro_bce,0.85,19,23,0.07142857142857142,0.7142857142857143
breast_cancer,25,c_prune_loro_bce,0.85,19,29,0.06382978723404255,0.7142857142857143
breast_cancer,25,c_prune_loro_bce,0.85,23,29,0.046511627906976744,1.0
breast_cancer,50,budget_prune,0.85,19,23,0.14942528735632185,0.8571428571428571
breast_cancer,50,budget_prune,0.85,19,29,0.13636363636363635,0.8571428571428571
breast_cancer,50,budget_prune,0.85,23,29,0.21951219512195122,1.0
breast_cancer,50,loro_bce,0.85,19,23,0.13636363636363635,0.8571428571428571
breast_cancer,50,loro_bce,0.85,19,29,0.14942528735632185,0.8571428571428571
breast_cancer,50,loro_bce,0.85,23,29,0.20481927710843373,1.0
breast_cancer,50,c_prune_loro_bce,0.85,19,23,0.06382978723404255,0.7142857142857143
breast_cancer,50,c_prune_loro_bce,0.85,19,29,0.08064516129032258,0.7142857142857143
breast_cancer,50,c_prune_loro_bce,0.85,23,29,0.09615384615384616,1.0
breast_cancer,100,budget_prune,0.85,19,23,0.3333333333333333,0.8571428571428571
breast_cancer,100,budget_prune,0.85,19,29,0.3333333333333333,0.8571428571428571
breast_cancer,100,budget_prune,0.85,23,29,0.3793103448275862,1.0
breast_cancer,100,loro_bce,0.85,19,23,0.30718954248366015,0.8571428571428571
breast_cancer,100,loro_bce,0.85,19,29,0.3157894736842105,0.8571428571428571
breast_cancer,100,loro_bce,0.85,23,29,0.41843971631205673,1.0
breast_cancer,100,c_prune_loro_bce,0.85,19,23,0.06382978723404255,0.7142857142857143
breast_cancer,100,c_prune_loro_bce,0.85,19,29,0.08064516129032258,0.7142857142857143
breast_cancer,100,c_prune_loro_bce,0.85,23,29,0.09615384615384616,1.0
breast_cancer,25,budget_prune,0.9,19,23,0.13636363636363635,0.75
breast_cancer,25,budget_prune,0.9,19,29,0.041666666666666664,0.75
breast_cancer,25,budget_prune,0.9,23,29,0.041666666666666664,0.75
breast_cancer,25,loro_bce,0.9,19,23,0.08695652173913043,0.75
breast_cancer,25,loro_bce,0.9,19,29,0.041666666666666664,0.8571428571428571
breast_cancer,25,loro_bce,0.9,23,29,0.08695652173913043,0.875
breast_cancer,25,c_prune_loro_bce,0.9,19,23,0.13636363636363635,0.75
breast_cancer,25,c_prune_loro_bce,0.9,19,29,0.06382978723404255,0.625
breast_cancer,25,c_prune_loro_bce,0.9,23,29,0.06382978723404255,0.6666666666666666
breast_cancer,50,budget_prune,0.9,19,23,0.14942528735632185,0.875
breast_cancer,50,budget_prune,0.9,19,29,0.13636363636363635,0.6666666666666666
breast_cancer,50,budget_prune,0.9,23,29,0.21951219512195122,0.7777777777777778
breast_cancer,50,loro_bce,0.9,19,23,0.13636363636363635,0.75
breast_cancer,50,loro_bce,0.9,19,29,0.14942528735632185,0.75
breast_cancer,50,loro_bce,0.9,23,29,0.20481927710843373,0.7777777777777778
breast_cancer,50,c_prune_loro_bce,0.9,19,23,0.11290322580645161,0.875
breast_cancer,50,c_prune_loro_bce,0.9,19,29,0.1375,0.5555555555555556
breast_cancer,50,c_prune_loro_bce,0.9,23,29,0.08823529411764706,0.6666666666666666
breast_cancer,100,budget_prune,0.9,19,23,0.3333333333333333,0.875
breast_cancer,100,budget_prune,0.9,19,29,0.3333333333333333,0.6666666666666666
breast_cancer,100,budget_prune,0.9,23,29,0.3793103448275862,0.7777777777777778
breast_cancer,100,loro_bce,0.9,19,23,0.30718954248366015,0.75
breast_cancer,100,loro_bce,0.9,19,29,0.3157894736842105,0.75
