dataset,seed,budget,method,corr_threshold,mean_abs_pairwise_corr_selected,max_abs_pairwise_corr_selected
breast_cancer,19,25,budget_prune,na,0.714697564286479,0.9998279560592361
breast_cancer,19,25,loro_bce,na,0.7155220800704175,0.9998279560592361
breast_cancer,19,25,c_prune_loro_bce,0.75,0.07816409378222765,0.17058989845276776
breast_cancer,19,25,c_prune_loro_bce,0.85,0.07816409378222765,0.17058989845276776
breast_cancer,19,25,c_prune_loro_bce,0.9,0.1636837976125703,0.973155458960876
breast_cancer,19,50,budget_prune,na,0.8439954093950729,0.999899476388822
breast_cancer,19,50,loro_bce,na,0.843699691052691,0.999899476388822
breast_cancer,19,50,c_prune_loro_bce,0.75,0.07816409378222765,0.17058989845276776
breast_cancer,19,50,c_prune_loro_bce,0.85,0.07816409378222765,0.17058989845276776
breast_cancer,19,50,c_prune_loro_bce,0.9,0.1636837976125703,0.973155458960876
breast_cancer,23,25,budget_prune,na,0.6402713577617996,0.9999774716506193
breast_cancer,23,25,loro_bce,na,0.6401470828833392,0.9999774716506193
breast_cancer,23,25,c_prune_loro_bce,0.75,0.12383281152749731,0.616658241050409
breast_cancer,23,25,c_prune_loro_bce,0.85,0.13987413637844565,0.7638022813206133
breast_cancer,23,25,c_prune_loro_bce,0.9,0.13987413637844565,0.7638022813206133
breast_cancer,23,50,budget_prune,na,0.8077163226626474,0.9999774716506193
breast_cancer,23,50,loro_bce,na,0.8087034538162807,0.9999986372447606
breast_cancer,23,50,c_prune_loro_bce,0.75,0.12383281152749731,0.616658241050409
breast_cancer,23,50,c_prune_loro_bce,0.85,0.13987413637844565,0.7638022813206133
breast_cancer,23,50,c_prune_loro_bce,0.9,0.13987413637844565,0.7638022813206133
breast_cancer,29,25,budget_prune,na,0.6966024636185353,0.9999793813458255
breast_cancer,29,25,loro_bce,na,0.7022503164455549,0.9999793813458255
breast_cancer,29,25,c_prune_loro_bce,0.75,0.14762061664154574,0.6764427009617925
breast_cancer,29,25,c_prune_loro_bce,0.85,0.14762061664154574,0.6764427009617925
breast_cancer,29,25,c_prune_loro_bce,0.9,0.21459701908773096,0.9294207386994024
breast_cancer,29,50,budget_prune,na,0.8356517371873171,0.9999793813458255
breast_cancer,29,50,loro_bce,na,0.8388241169165616,0.9999793813458255
breast_cancer,29,50,c_prune_loro_bce,0.75,0.14762061664154574,0.6764427009617925
breast_cancer,29,50,c_prune_loro_bce,0.85,0.14762061664154574,0.6764427009617925
breast_cancer,29,50,c_prune_loro_bce,0.9,0.21459701908773096,0.9294207386994024
