dataset,seed,budget,method,corr_threshold,mean_abs_pairwise_corr_selected,max_abs_pairwise_corr_selected
breast_cancer,19,25,budget_prune,na,0.4283379044794147,0.997421723490202
breast_cancer,19,25,loro_bce,na,0.4829894548734119,0.9940657786714867
breast_cancer,19,25,c_prune_loro_bce,0.75,0.31644079403102415,0.8621950922206919
breast_cancer,19,25,c_prune_loro_bce,0.85,0.42951321732044884,0.9652499046105596
breast_cancer,19,25,c_prune_loro_bce,0.9,0.4506312803254633,0.9652499046105596
breast_cancer,19,50,budget_prune,na,0.6129797043809546,0.9976062559411073
breast_cancer,19,50,loro_bce,na,0.6802159508951309,0.9999781982062443
breast_cancer,19,50,c_prune_loro_bce,0.75,0.31644079403102415,0.8621950922206919
breast_cancer,19,50,c_prune_loro_bce,0.85,0.4149785922982326,0.9652499046105596
breast_cancer,19,50,c_prune_loro_bce,0.9,0.4662899617528187,0.9652499046105596
breast_cancer,19,100,budget_prune,na,0.7494356427898399,0.9999781982062442
breast_cancer,19,100,loro_bce,na,0.775396165411995,0.9999781982062443
breast_cancer,19,100,c_prune_loro_bce,0.75,0.31644079403102415,0.8621950922206919
breast_cancer,19,100,c_prune_loro_bce,0.85,0.4149785922982326,0.9652499046105596
breast_cancer,19,100,c_prune_loro_bce,0.9,0.4662899617528187,0.9652499046105596
breast_cancer,23,25,budget_prune,na,0.5042889244514192,0.9989929867680426
breast_cancer,23,25,loro_bce,na,0.5555906870999121,0.9989929867680426
breast_cancer,23,25,c_prune_loro_bce,0.75,0.09830961654306002,0.7622338378442616
breast_cancer,23,25,c_prune_loro_bce,0.85,0.21024687681028192,0.9591089785745187
breast_cancer,23,25,c_prune_loro_bce,0.9,0.26107895595233893,0.9807803737499129
breast_cancer,23,50,budget_prune,na,0.7190042884433563,0.9999998388801175
breast_cancer,23,50,loro_bce,na,0.7525613589662961,0.9999777841943328
breast_cancer,23,50,c_prune_loro_bce,0.75,0.09830961654306002,0.7622338378442616
breast_cancer,23,50,c_prune_loro_bce,0.85,0.21024687681028192,0.9591089785745187
breast_cancer,23,50,c_prune_loro_bce,0.9,0.26107895595233893,0.9807803737499129
breast_cancer,23,100,budget_prune,na,0.8414766501320239,0.9999998388801175
breast_cancer,23,100,loro_bce,na,0.8615395304858035,0.9999998388801175
breast_cancer,23,100,c_prune_loro_bce,0.75,0.09830961654306002,0.7622338378442616
breast_cancer,23,100,c_prune_loro_bce,0.85,0.21024687681028192,0.9591089785745187
breast_cancer,23,100,c_prune_loro_bce,0.9,0.26107895595233893,0.9807803737499129
breast_cancer,29,25,budget_prune,na,0.5862790050103857,0.9999999590602113
breast_cancer,29,25,loro_bce,na,0.5877497405098104,0.9999999590602113
breast_cancer,29,25,c_prune_loro_bce,0.75,0.17706268744613599,0.7940277939984643
breast_cancer,29,25,c_prune_loro_bce,0.85,0.2837604801098047,0.8850351292087711
breast_cancer,29,25,c_prune_loro_bce,0.9,0.4144254948511154,0.9494621452412451
breast_cancer,29,50,budget_prune,na,0.761828853541805,0.9999999590602113
breast_cancer,29,50,loro_bce,na,0.7649525857475827,0.9999999590602113
breast_cancer,29,50,c_prune_loro_bce,0.75,0.17706268744613599,0.7940277939984643
breast_cancer,29,50,c_prune_loro_bce,0.85,0.2837604801098047,0.8850351292087711
breast_cancer,29,50,c_prune_loro_bce,0.9,0.4144254948511154,0.9494621452412451
breast_cancer,29,100,budget_prune,na,0.8581893432556861,0.9999999590602113
breast_cancer,29,100,loro_bce,na,0.8644709365536564,0.9999999590602113
breast_cancer,29,100,c_prune_loro_bce,0.75,0.17706268744613599,0.7940277939984643
breast_cancer,29,100,c_prune_loro_bce,0.85,0.2837604801098047,0.8850351292087711
breast_cancer,29,100,c_prune_loro_bce,0.9,0.4144254948511154,0.9494621452412451
