dataset,seed,budget,method,corr_threshold,mean_abs_pairwise_corr_selected,max_abs_pairwise_corr_selected
breast_cancer,19,25,budget_prune,na,0.3795690409789438,0.956461407038604
breast_cancer,19,25,loro_bce,na,0.44114419264177956,0.9996741375158973
breast_cancer,19,25,c_prune_loro_bce,0.75,0.33990397356056284,0.9460258557002855
breast_cancer,19,25,c_prune_loro_bce,0.85,0.421749975374519,0.9668888823309314
breast_cancer,19,25,c_prune_loro_bce,0.9,0.4483141449173063,0.9768666250544354
breast_cancer,19,25,c_prune_loro_bce,0.95,0.450490471726046,0.9925854876532265
breast_cancer,19,50,budget_prune,na,0.5938209318484892,0.9997792005017858
breast_cancer,19,50,loro_bce,na,0.6459654006791454,0.9999531257237345
breast_cancer,19,50,c_prune_loro_bce,0.75,0.33990397356056284,0.9460258557002855
breast_cancer,19,50,c_prune_loro_bce,0.85,0.4155923864305752,0.9668888823309314
breast_cancer,19,50,c_prune_loro_bce,0.9,0.5205687416759806,0.9768666250544354
breast_cancer,19,50,c_prune_loro_bce,0.95,0.6307934292129697,0.9953002891934134
breast_cancer,19,100,budget_prune,na,0.7248627410347153,0.9999388573311095
breast_cancer,19,100,loro_bce,na,0.7633930333761572,0.9999968544916403
breast_cancer,19,100,c_prune_loro_bce,0.75,0.33990397356056284,0.9460258557002855
breast_cancer,19,100,c_prune_loro_bce,0.85,0.4155923864305752,0.9668888823309314
breast_cancer,19,100,c_prune_loro_bce,0.9,0.5205687416759806,0.9768666250544354
breast_cancer,19,100,c_prune_loro_bce,0.95,0.6236696348696346,0.9953002891934134
breast_cancer,23,25,budget_prune,na,0.46223116378613044,0.998361107822775
breast_cancer,23,25,loro_bce,na,0.5327294481647645,0.9999788077020773
breast_cancer,23,25,c_prune_loro_bce,0.75,0.30566017003225715,0.9128269917410577
breast_cancer,23,25,c_prune_loro_bce,0.85,0.3913855240346781,0.9551351487768686
breast_cancer,23,25,c_prune_loro_bce,0.9,0.4520386130530154,0.9753245661888745
breast_cancer,23,25,c_prune_loro_bce,0.95,0.4777904867918221,0.9887469268112943
breast_cancer,23,50,budget_prune,na,0.6666490259195368,0.9999833864952822
breast_cancer,23,50,loro_bce,na,0.7107554011858326,0.9999833864952822
breast_cancer,23,50,c_prune_loro_bce,0.75,0.30566017003225715,0.9128269917410577
breast_cancer,23,50,c_prune_loro_bce,0.85,0.3913855240346781,0.9551351487768686
breast_cancer,23,50,c_prune_loro_bce,0.9,0.4502208815486158,0.9753245661888745
breast_cancer,23,50,c_prune_loro_bce,0.95,0.5836468016671693,0.9887469268112943
breast_cancer,23,100,budget_prune,na,0.7863954926858168,0.9999955458866497
breast_cancer,23,100,loro_bce,na,0.8227514290838155,0.9999833864952822
breast_cancer,23,100,c_prune_loro_bce,0.75,0.30566017003225715,0.9128269917410577
breast_cancer,23,100,c_prune_loro_bce,0.85,0.3913855240346781,0.9551351487768686
breast_cancer,23,100,c_prune_loro_bce,0.9,0.4502208815486158,0.9753245661888745
breast_cancer,23,100,c_prune_loro_bce,0.95,0.5836468016671693,0.9887469268112943
breast_cancer,29,25,budget_prune,na,0.2960844523386384,0.9902155664586715
breast_cancer,29,25,loro_bce,na,0.33384495461004593,0.992422257060257
breast_cancer,29,25,c_prune_loro_bce,0.75,0.309849398518857,0.9181978991496613
breast_cancer,29,25,c_prune_loro_bce,0.85,0.36288675367227546,0.9181978991496613
breast_cancer,29,25,c_prune_loro_bce,0.9,0.3696615669427764,0.9434599931719777
breast_cancer,29,25,c_prune_loro_bce,0.95,0.3351904591470085,0.992422257060257
breast_cancer,29,50,budget_prune,na,0.5028118691554487,0.9922259852485994
breast_cancer,29,50,loro_bce,na,0.5495245678728617,0.9990461572303911
breast_cancer,29,50,c_prune_loro_bce,0.75,0.309849398518857,0.9181978991496613
breast_cancer,29,50,c_prune_loro_bce,0.85,0.3958578466691586,0.9346623654552493
breast_cancer,29,50,c_prune_loro_bce,0.9,0.4780835950001853,0.9700893477460997
breast_cancer,29,50,c_prune_loro_bce,0.95,0.5320885969629969,0.992422257060257
breast_cancer,29,100,budget_prune,na,0.6551394649088175,0.9999992758474003
breast_cancer,29,100,loro_bce,na,0.6909533468947059,0.9999232952459295
breast_cancer,29,100,c_prune_loro_bce,0.75,0.309849398518857,0.9181978991496613
breast_cancer,29,100,c_prune_loro_bce,0.85,0.3958578466691586,0.9346623654552493
breast_cancer,29,100,c_prune_loro_bce,0.9,0.4780835950001853,0.9700893477460997
breast_cancer,29,100,c_prune_loro_bce,0.95,0.5399421691307088,0.992422257060257
