dataset,seed,budget,method,corr_threshold,n_clusters,effective_selected_rules,f1,roc_auc,pr_auc,fidelity,agreement
breast_cancer,19,25,budget_prune,na,,25,0.9722222222222222,0.9917328042328044,0.9941548822592232,0.011185019722262976,1.0
breast_cancer,19,25,loro_bce,na,,25,0.9722222222222222,0.9917328042328044,0.9941548822592232,0.011170449555117668,1.0
breast_cancer,19,25,c_prune_loro_bce,0.75,4,4,0.965034965034965,0.9897486772486772,0.993125495857822,0.05084739066965716,0.9912280701754386
breast_cancer,19,25,c_prune_loro_bce,0.85,4,4,0.965034965034965,0.9897486772486772,0.993125495857822,0.05084739066965716,0.9912280701754386
breast_cancer,19,25,c_prune_loro_bce,0.9,5,5,0.965034965034965,0.9897486772486772,0.993125495857822,0.050843189138263516,0.9912280701754386
breast_cancer,19,50,budget_prune,na,,50,0.9722222222222222,0.9917328042328044,0.9941548822592232,0.01113820502113514,1.0
breast_cancer,19,50,loro_bce,na,,50,0.9722222222222222,0.9917328042328044,0.9941548822592232,0.011138078393563802,1.0
breast_cancer,19,50,c_prune_loro_bce,0.75,4,4,0.965034965034965,0.9897486772486772,0.993125495857822,0.05084739066965716,0.9912280701754386
breast_cancer,19,50,c_prune_loro_bce,0.85,4,4,0.965034965034965,0.9897486772486772,0.993125495857822,0.05084739066965716,0.9912280701754386
breast_cancer,19,50,c_prune_loro_bce,0.9,5,5,0.965034965034965,0.9897486772486772,0.993125495857822,0.050843189138263516,0.9912280701754386
breast_cancer,23,25,budget_prune,na,,25,0.9722222222222222,0.990079365079365,0.9935184165321057,0.01757412793390827,1.0
breast_cancer,23,25,loro_bce,na,,25,0.9722222222222222,0.990079365079365,0.9935184165321057,0.01757396380765642,1.0
breast_cancer,23,25,c_prune_loro_bce,0.75,6,6,0.965034965034965,0.9884259259259259,0.9924633093991233,0.04129390453562719,0.9912280701754386
breast_cancer,23,25,c_prune_loro_bce,0.85,7,7,0.9722222222222222,0.990079365079365,0.9935184165321057,0.017573503215999806,1.0
breast_cancer,23,25,c_prune_loro_bce,0.9,7,7,0.9722222222222222,0.990079365079365,0.9935184165321057,0.017573503215999806,1.0
breast_cancer,23,50,budget_prune,na,,50,0.9722222222222222,0.990079365079365,0.9935184165321057,0.01757386272165757,1.0
breast_cancer,23,50,loro_bce,na,,50,0.9722222222222222,0.990079365079365,0.9935184165321057,0.017574099840418793,1.0
breast_cancer,23,50,c_prune_loro_bce,0.75,6,6,0.965034965034965,0.9884259259259259,0.9924633093991233,0.04129390453562719,0.9912280701754386
breast_cancer,23,50,c_prune_loro_bce,0.85,7,7,0.9722222222222222,0.990079365079365,0.9935184165321057,0.017573503215999806,1.0
breast_cancer,23,50,c_prune_loro_bce,0.9,7,7,0.9722222222222222,0.990079365079365,0.9935184165321057,0.017573503215999806,1.0
breast_cancer,29,25,budget_prune,na,,25,0.9790209790209791,0.9983465608465608,0.9990215209169856,0.0165734361275588,0.9912280701754386
breast_cancer,29,25,loro_bce,na,,25,0.9790209790209791,0.9983465608465608,0.9990215209169856,0.01650637989689416,0.9912280701754386
breast_cancer,29,25,c_prune_loro_bce,0.75,5,5,0.971830985915493,0.9957010582010581,0.99753121721999,0.04505081020958216,0.9824561403508771
breast_cancer,29,25,c_prune_loro_bce,0.85,5,5,0.971830985915493,0.9957010582010581,0.99753121721999,0.04505081020958216,0.9824561403508771
breast_cancer,29,25,c_prune_loro_bce,0.9,6,6,0.971830985915493,0.9957010582010581,0.99753121721999,0.04504213841970594,0.9824561403508771
breast_cancer,29,50,budget_prune,na,,50,0.9790209790209791,0.9983465608465608,0.9990215209169856,0.016553948267952347,0.9912280701754386
breast_cancer,29,50,loro_bce,na,,50,0.9790209790209791,0.9983465608465608,0.9990215209169856,0.016485712020046867,0.9912280701754386
breast_cancer,29,50,c_prune_loro_bce,0.75,5,5,0.971830985915493,0.9957010582010581,0.99753121721999,0.04505081020958216,0.9824561403508771
breast_cancer,29,50,c_prune_loro_bce,0.85,5,5,0.971830985915493,0.9957010582010581,0.99753121721999,0.04505081020958216,0.9824561403508771
breast_cancer,29,50,c_prune_loro_bce,0.9,6,6,0.971830985915493,0.9957010582010581,0.99753121721999,0.04504213841970594,0.9824561403508771
