dataset,budget,method,corr_threshold,f1_mean,redundancy_mean_abs_corr,rule_jaccard_mean,meta_cluster_jaccard_mean,meta_minus_rule_jaccard
covtype_binary_20000,25,budget_prune,0.75,0.743288115506419,0.31300665704961067,0.2962962962962963,0.5222222222222223,0.22592592592592597
covtype_binary_20000,25,budget_prune,0.85,0.743288115506419,0.31300665704961067,0.2962962962962963,0.4666666666666667,0.1703703703703704
covtype_binary_20000,25,budget_prune,0.9,0.743288115506419,0.31300665704961067,0.2962962962962963,0.3396825396825397,0.04338624338624342
covtype_binary_20000,25,c_prune_loro_bce,0.75,0.7551270415030356,0.18679999953643764,0.04259094942324756,0.5636363636363636,0.521045414213116
covtype_binary_20000,25,c_prune_loro_bce,0.85,0.7472851358752042,0.19310270548871752,0.05026210299105766,0.44126984126984126,0.3910077382787836
covtype_binary_20000,25,c_prune_loro_bce,0.9,0.7509577900259197,0.19172704579524905,0.0428743961352657,0.49916457811194653,0.4562901819766808
covtype_binary_20000,25,loro_bce,0.75,0.7467114920592064,0.1861769345814418,0.1051894918173988,0.8095238095238095,0.7043343177064108
covtype_binary_20000,25,loro_bce,0.85,0.7467114920592064,0.1861769345814418,0.1051894918173988,0.6686507936507936,0.5634613018333948
covtype_binary_20000,25,loro_bce,0.9,0.7467114920592064,0.1861769345814418,0.1051894918173988,0.48717948717948717,0.3819899953620884
covtype_binary_20000,50,budget_prune,0.75,0.7522095247430077,0.19166276297257914,0.3277953277953278,0.6428571428571429,0.31506181506181513
covtype_binary_20000,50,budget_prune,0.85,0.7522095247430077,0.19166276297257914,0.3277953277953278,0.5,0.17220467220467223
covtype_binary_20000,50,budget_prune,0.9,0.7522095247430077,0.19166276297257914,0.3277953277953278,0.48931623931623935,0.16152091152091158
covtype_binary_20000,50,c_prune_loro_bce,0.75,0.7750792380024706,0.14464202326109135,0.053658642944357224,0.48717948717948717,0.43352084423512993
covtype_binary_20000,50,c_prune_loro_bce,0.85,0.7766126011069628,0.1685828759945838,0.0763318226339293,0.3942724458204334,0.3179406231865041
covtype_binary_20000,50,c_prune_loro_bce,0.9,0.7748704532733842,0.19491049345982062,0.08854481726021167,0.5442160737812912,0.45567125652107954
covtype_binary_20000,50,loro_bce,0.75,0.7658054239651689,0.17228269745260966,0.11218568665377175,0.6242424242424243,0.5120567375886526
covtype_binary_20000,50,loro_bce,0.85,0.7658054239651689,0.17228269745260966,0.11218568665377175,0.48717948717948717,0.3749938005257154
covtype_binary_20000,50,loro_bce,0.9,0.7658054239651689,0.17228269745260966,0.11218568665377175,0.48520074696545284,0.3730150603116811
covtype_binary_20000,100,budget_prune,0.75,0.7584198859496039,0.14579139566433913,0.30963846494273173,0.6501831501831502,0.3405446852404185
covtype_binary_20000,100,budget_prune,0.85,0.7584198859496039,0.14579139566433913,0.30963846494273173,0.5849673202614379,0.2753288553187062
covtype_binary_20000,100,budget_prune,0.9,0.7584198859496039,0.14579139566433913,0.30963846494273173,0.5462074157726331,0.23656895082990137
covtype_binary_20000,100,c_prune_loro_bce,0.75,0.7778546725837948,0.11677828420411744,0.07998516194329626,0.7095516569200779,0.6295664949767816
covtype_binary_20000,100,c_prune_loro_bce,0.85,0.7790856091151256,0.12535291270838622,0.09782709011713002,0.6174687381583933,0.5196416480412633
covtype_binary_20000,100,c_prune_loro_bce,0.9,0.7802596464110712,0.14284630820312397,0.09142818166759234,0.6548754636989931,0.5634472820314007
covtype_binary_20000,100,loro_bce,0.75,0.7718612475821373,0.17421992721209406,0.20035641456171022,0.4873015873015873,0.2869451727398771
covtype_binary_20000,100,loro_bce,0.85,0.7718612475821373,0.17421992721209406,0.20035641456171022,0.430546955624355,0.2301905410626448
covtype_binary_20000,100,loro_bce,0.9,0.7718612475821373,0.17421992721209406,0.20035641456171022,0.5093934514224369,0.30903703686072664
