dataset,budget,method,f1_mean,f1_std,roc_auc_mean,pr_auc_mean,n_seeds,subset_jaccard_mean,source,notes
covtype_binary_20000,25,budget_prune,0.743288115506419,0.005826908401898384,0.8142505732749635,0.7669718340710052,3,0.2962962962962963,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,25,loro_bce,0.7467114920592064,0.02091968921789373,0.8133700229309986,0.7807574135546284,3,0.1051894918173988,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,25,loro_f1,0.7646017231636074,0.0061514349130009525,0.8272757973733584,0.7822240466517554,3,0.04905437352245862,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,50,budget_prune,0.7522095247430077,0.003808280253693025,0.8260923076923078,0.782376130241126,3,0.3277953277953278,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,50,loro_bce,0.7658054239651689,0.01040583305956869,0.8352545340838023,0.8016838778571344,3,0.11218568665377175,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,50,loro_f1,0.7730049727854262,0.0032132011641372634,0.8406599958307275,0.8060147286459577,3,0.09527361485380302,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,100,budget_prune,0.7584198859496039,0.002377666028332121,0.8356309360016677,0.795940850407547,3,0.30963846494273173,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,100,gate_l1,0.7881,0.0043,,,3,,unified_main_methods_table.csv,main comparison table
covtype_binary_20000,100,loro_bce,0.7718612475821373,0.005298849109875859,0.8416441942880968,0.8091844522268334,3,0.2003564145617102,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,100,loro_f1,0.7769349344434345,0.0023847360936736384,0.8438743381279966,0.8101700579425741,3,0.15836176493100845,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,100,random_b,0.6671,0.0184,,,3,,unified_main_methods_table.csv,main comparison table
covtype_binary_20000,100,rulefit,0.7468732214780198,0.003612848644538,0.8561732749635188,0.8335264929589288,3,,rulefit_covtype_summary.csv,external baseline
covtype_binary_20000,200,budget_prune,0.7768509384347587,0.00346771396740101,0.8445254951011049,0.8083047469995778,3,0.352128228861826,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,200,gate_l1,0.7916,0.0028,,,3,,unified_main_methods_table.csv,main comparison table
covtype_binary_20000,200,loro_bce,0.778822380179208,0.005513470850116045,0.8465587658953513,0.8129449444767914,3,0.2689246083582503,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,200,loro_f1,0.781432152842463,0.005673711709653212,0.8471027725661873,0.8131096653442355,3,0.2876100679024361,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,200,random_b,0.6669,0.0138,,,3,,unified_main_methods_table.csv,main comparison table
covtype_binary_20000,200,rulefit,0.7456077862194462,0.0093351709768811,0.8560193454242234,0.832096617353681,3,,rulefit_covtype_summary.csv,external baseline
covtype_binary_20000,400,budget_prune,0.7811248731911807,0.004433729493647089,0.8500872211799041,0.817631033923023,3,0.4878814077173117,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,400,gate_l1,0.7939,0.0054,,,3,,unified_main_methods_table.csv,main comparison table
covtype_binary_20000,400,loro_bce,0.7796582901364976,0.005001323385603637,0.8486679174484053,0.8165812348751724,3,0.5761323864437251,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,400,loro_f1,0.7812957106133553,0.003917043408472558,0.84926137169064,0.8157877200092026,3,0.34747344196294994,tables_loro_prune_summary.csv,loro protocol
covtype_binary_20000,400,random_b,0.6756,0.0151,,,3,,unified_main_methods_table.csv,main comparison table
covtype_binary_20000,400,rulefit,0.7451448188920308,0.0106636344099107,0.8532757973733583,0.8273370243364716,3,,rulefit_covtype_summary.csv,external baseline
covtype_binary_20000,full_h,l1_lr_full_h,0.7938497594987816,0.005835778583181283,0.8718109651865751,0.8469711551510932,3,,tables_l1_lr_full_h_summary.csv,full-H sparse baseline
