dataset,budget,seed,importance_split,f1,roc_auc,pr_auc,selected_rules
covtype_binary_20000,100,19,train,0.7509999999994998,0.825786292552948,0.7930781750801282,100.0
covtype_binary_20000,100,23,train,0.763546798029057,0.8387099504470825,0.8088363256209936,100.0
covtype_binary_20000,100,29,train,0.7639612807143177,0.8355274200439453,0.8007833158052885,100.0
covtype_binary_20000,100,19,val,0.758064516128532,0.8347184658050537,0.8031362054286859,100.0
covtype_binary_20000,100,23,val,0.7633851468043363,0.8388940691947937,0.8094711538461539,100.0
covtype_binary_20000,100,29,val,0.7642115669792334,0.8352410793304443,0.8003327198517628,100.0
covtype_binary_20000,200,19,train,0.7615927419349836,0.8366414308547974,0.805390625,200.0
covtype_binary_20000,200,23,train,0.7651663405083069,0.8401473164558411,0.8101400991586538,200.0
covtype_binary_20000,200,29,train,0.7711968542634474,0.8364147543907166,0.8010843599759615,200.0
covtype_binary_20000,200,19,val,0.7615927419349836,0.8366717100143433,0.8054095928485577,200.0
covtype_binary_20000,200,23,val,0.7644900953773437,0.8402065634727478,0.8102949719551282,200.0
covtype_binary_20000,200,29,val,0.770817980839589,0.83636075258255,0.8006993689903846,200.0
covtype_binary_20000,400,19,train,0.7648087978000497,0.837512195110321,0.8053987630208334,400.0
covtype_binary_20000,400,23,train,0.7605563835067033,0.839841365814209,0.8118025090144231,400.0
covtype_binary_20000,400,29,train,0.7738153395207514,0.8369263410568237,0.8025818184094551,400.0
covtype_binary_20000,400,19,val,0.7649999999995,0.8375832438468933,0.805794458633814,400.0
covtype_binary_20000,400,23,val,0.7616926503335759,0.8398271799087524,0.811584222255609,400.0
covtype_binary_20000,400,29,val,0.7728382999506488,0.8369277715682983,0.802731182391827,400.0
