dataset,budget,method,corr_threshold,seed_a,seed_b,f1_mean_method,rule_jaccard,meta_cluster_jaccard
covtype_binary_20000,25,budget_prune,0.75,19,23,0.7433487806778422,0.25,0.5
covtype_binary_20000,25,budget_prune,0.75,19,29,0.7433487806778422,0.25,0.6666666666666666
covtype_binary_20000,25,budget_prune,0.75,23,29,0.7433487806778422,0.3888888888888889,0.4
covtype_binary_20000,25,loro_bce,0.75,19,23,0.7465525109994351,0.16279069767441862,0.7142857142857143
covtype_binary_20000,25,loro_bce,0.75,19,29,0.7465525109994351,0.041666666666666664,0.7142857142857143
covtype_binary_20000,25,loro_bce,0.75,23,29,0.7465525109994351,0.1111111111111111,1.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,23,0.7551162234340394,0.08695652173913043,0.5454545454545454
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,29,0.7551162234340394,0.02040816326530612,0.5454545454545454
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,29,0.7551162234340394,0.02040816326530612,0.6
covtype_binary_20000,25,l1_lr_top_coef,0.75,19,23,0.7770709911262679,0.08695652173913043,0.7777777777777778
covtype_binary_20000,25,l1_lr_top_coef,0.75,19,29,0.7770709911262679,0.1111111111111111,0.75
covtype_binary_20000,25,l1_lr_top_coef,0.75,23,29,0.7770709911262679,0.08695652173913043,0.6
covtype_binary_20000,50,budget_prune,0.75,19,23,0.751173288812124,0.3333333333333333,0.7142857142857143
covtype_binary_20000,50,budget_prune,0.75,19,29,0.751173288812124,0.2987012987012987,0.5
covtype_binary_20000,50,budget_prune,0.75,23,29,0.751173288812124,0.35135135135135137,0.7142857142857143
covtype_binary_20000,50,loro_bce,0.75,19,23,0.7654041105367767,0.13636363636363635,0.6
covtype_binary_20000,50,loro_bce,0.75,19,29,0.7654041105367767,0.06382978723404255,0.5454545454545454
covtype_binary_20000,50,loro_bce,0.75,23,29,0.7654041105367767,0.13636363636363635,0.7272727272727273
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,23,0.7755965022266427,0.0989010989010989,0.46153846153846156
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,29,0.7755965022266427,0.02040816326530612,0.4666666666666667
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,29,0.7755965022266427,0.041666666666666664,0.5333333333333333
covtype_binary_20000,50,l1_lr_top_coef,0.75,19,23,0.7788777373822251,0.21951219512195122,0.6363636363636364
covtype_binary_20000,50,l1_lr_top_coef,0.75,19,29,0.7788777373822251,0.21951219512195122,0.75
covtype_binary_20000,50,l1_lr_top_coef,0.75,23,29,0.7788777373822251,0.20481927710843373,0.5
covtype_binary_20000,100,budget_prune,0.75,19,23,0.7595009107323216,0.32413793103448274,0.6153846153846154
covtype_binary_20000,100,budget_prune,0.75,19,29,0.7595009107323216,0.3087248322147651,0.6428571428571429
covtype_binary_20000,100,budget_prune,0.75,23,29,0.7595009107323216,0.29605263157894735,0.6923076923076923
covtype_binary_20000,100,loro_bce,0.75,19,23,0.7719762700468301,0.22699386503067484,0.42857142857142855
covtype_binary_20000,100,loro_bce,0.75,19,29,0.7719762700468301,0.17647058823529413,0.5
covtype_binary_20000,100,loro_bce,0.75,23,29,0.7719762700468301,0.19760479041916168,0.5333333333333333
covtype_binary_20000,100,c_prune_loro_bce,0.75,19,23,0.7779159305786494,0.09352517985611511,0.6842105263157895
covtype_binary_20000,100,c_prune_loro_bce,0.75,19,29,0.7779159305786494,0.06896551724137931,0.7222222222222222
covtype_binary_20000,100,c_prune_loro_bce,0.75,23,29,0.7779159305786494,0.07746478873239436,0.7222222222222222
covtype_binary_20000,100,l1_lr_top_coef,0.75,19,23,0.7791147974160201,0.2727272727272727,0.625
covtype_binary_20000,100,l1_lr_top_coef,0.75,19,29,0.7791147974160201,0.25157232704402516,0.6428571428571429
covtype_binary_20000,100,l1_lr_top_coef,0.75,23,29,0.7791147974160201,0.23125,0.5625
