dataset,seed,check,result,value
covtype_binary_20000,19,hash_unique_across_budgets::budget_prune,True,9c5c13b65481|20c89174d47e|b65416e11307
covtype_binary_20000,19,hash_unique_across_budgets::loro_bce,True,104126ce5754|0e2848295639|55630cedd807
covtype_binary_20000,19,hash_unique_across_budgets::c_prune_loro_bce,True,f3cb2ebf7ffd|f54a106905c5|99aa6b9f117e
covtype_binary_20000,19,hash_unique_across_methods::B25,True,9c5c13b65481|104126ce5754|f3cb2ebf7ffd
covtype_binary_20000,19,hash_unique_across_methods::B50,True,20c89174d47e|0e2848295639|f54a106905c5
covtype_binary_20000,19,hash_unique_across_methods::B100,True,b65416e11307|55630cedd807|99aa6b9f117e
covtype_binary_20000,19,deletion_delta_bce_changes_with_budget::c_prune,True,"25:0.120544,50:0.131500,100:0.129451"
covtype_binary_20000,23,hash_unique_across_budgets::budget_prune,True,73e1e7a84001|25ded5285cd1|01e63eeb7a4e
covtype_binary_20000,23,hash_unique_across_budgets::loro_bce,True,56eaafd5eb00|b02cc59eb18a|6c4a09d18f94
covtype_binary_20000,23,hash_unique_across_budgets::c_prune_loro_bce,True,6dde156ade3b|77317e2c76b0|af32070447aa
covtype_binary_20000,23,hash_unique_across_methods::B25,True,73e1e7a84001|56eaafd5eb00|6dde156ade3b
covtype_binary_20000,23,hash_unique_across_methods::B50,True,25ded5285cd1|b02cc59eb18a|77317e2c76b0
covtype_binary_20000,23,hash_unique_across_methods::B100,True,01e63eeb7a4e|6c4a09d18f94|af32070447aa
covtype_binary_20000,23,deletion_delta_bce_changes_with_budget::c_prune,True,"25:0.051475,50:0.059229,100:0.057641"
covtype_binary_20000,29,hash_unique_across_budgets::budget_prune,True,84157d50d6c9|dd5ecc52e128|873a7f42ae50
covtype_binary_20000,29,hash_unique_across_budgets::loro_bce,True,5340c07aff56|1d0f065c2d87|efb97b754fcd
covtype_binary_20000,29,hash_unique_across_budgets::c_prune_loro_bce,True,5835cb7e4d2a|c6bfc8a74ac7|5f4a801bd586
covtype_binary_20000,29,hash_unique_across_methods::B25,True,84157d50d6c9|5340c07aff56|5835cb7e4d2a
covtype_binary_20000,29,hash_unique_across_methods::B50,True,dd5ecc52e128|1d0f065c2d87|c6bfc8a74ac7
covtype_binary_20000,29,hash_unique_across_methods::B100,True,873a7f42ae50|efb97b754fcd|5f4a801bd586
covtype_binary_20000,29,deletion_delta_bce_changes_with_budget::c_prune,True,"25:0.024846,50:0.033354,100:0.034411"
