dataset,budget,method,seed_a,seed_b,jaccard
covtype_binary_20000,25,budget_prune,19,23,0.25
covtype_binary_20000,25,budget_prune,19,29,0.25
covtype_binary_20000,25,budget_prune,23,29,0.3888888888888889
covtype_binary_20000,25,loro_f1,19,23,0.06382978723404255
covtype_binary_20000,25,loro_f1,19,29,0.041666666666666664
covtype_binary_20000,25,loro_f1,23,29,0.041666666666666664
covtype_binary_20000,25,loro_bce,19,23,0.16279069767441862
covtype_binary_20000,25,loro_bce,19,29,0.041666666666666664
covtype_binary_20000,25,loro_bce,23,29,0.1111111111111111
covtype_binary_20000,25,sloro_f1,19,23,0.13636363636363635
covtype_binary_20000,25,sloro_f1,19,29,0.13636363636363635
covtype_binary_20000,25,sloro_f1,23,29,0.28205128205128205
covtype_binary_20000,25,sloro_bce,19,23,0.020833333333333332
covtype_binary_20000,25,sloro_bce,19,29,0.07894736842105263
covtype_binary_20000,25,sloro_bce,23,29,0.0
covtype_binary_20000,50,budget_prune,19,23,0.3333333333333333
covtype_binary_20000,50,budget_prune,19,29,0.2987012987012987
covtype_binary_20000,50,budget_prune,23,29,0.35135135135135137
covtype_binary_20000,50,loro_f1,19,23,0.12359550561797752
covtype_binary_20000,50,loro_f1,19,29,0.07526881720430108
covtype_binary_20000,50,loro_f1,23,29,0.08695652173913043
covtype_binary_20000,50,loro_bce,19,23,0.13636363636363635
covtype_binary_20000,50,loro_bce,19,29,0.06382978723404255
covtype_binary_20000,50,loro_bce,23,29,0.13636363636363635
covtype_binary_20000,50,sloro_f1,19,23,0.24675324675324675
covtype_binary_20000,50,sloro_f1,19,29,0.24050632911392406
covtype_binary_20000,50,sloro_f1,23,29,0.3150684931506849
covtype_binary_20000,50,sloro_bce,19,23,0.13953488372093023
covtype_binary_20000,50,sloro_bce,19,29,0.15384615384615385
covtype_binary_20000,50,sloro_bce,23,29,0.1111111111111111
covtype_binary_20000,100,budget_prune,19,23,0.32413793103448274
covtype_binary_20000,100,budget_prune,19,29,0.3087248322147651
covtype_binary_20000,100,budget_prune,23,29,0.29605263157894735
covtype_binary_20000,100,loro_f1,19,23,0.15606936416184972
covtype_binary_20000,100,loro_f1,19,29,0.14942528735632185
covtype_binary_20000,100,loro_f1,23,29,0.1695906432748538
covtype_binary_20000,100,loro_bce,19,23,0.22699386503067484
covtype_binary_20000,100,loro_bce,19,29,0.17647058823529413
covtype_binary_20000,100,loro_bce,23,29,0.19760479041916168
covtype_binary_20000,100,sloro_f1,19,23,0.3458646616541353
covtype_binary_20000,100,sloro_f1,19,29,0.35
covtype_binary_20000,100,sloro_f1,23,29,0.362962962962963
covtype_binary_20000,100,sloro_bce,19,23,0.2937062937062937
covtype_binary_20000,100,sloro_bce,19,29,0.3233082706766917
covtype_binary_20000,100,sloro_bce,23,29,0.3111111111111111
covtype_binary_20000,200,budget_prune,19,23,0.3508771929824561
covtype_binary_20000,200,budget_prune,19,29,0.33448275862068966
covtype_binary_20000,200,budget_prune,23,29,0.3710247349823322
covtype_binary_20000,200,loro_f1,19,23,0.2987012987012987
covtype_binary_20000,200,loro_f1,19,29,0.2779552715654952
covtype_binary_20000,200,loro_f1,23,29,0.2861736334405145
covtype_binary_20000,200,loro_bce,19,23,0.29449838187702265
covtype_binary_20000,200,loro_bce,19,29,0.23839009287925697
covtype_binary_20000,200,loro_bce,23,29,0.27388535031847133
covtype_binary_20000,200,sloro_f1,19,23,0.5043478260869565
covtype_binary_20000,200,sloro_f1,19,29,0.49783549783549785
covtype_binary_20000,200,sloro_f1,23,29,0.5868544600938967
covtype_binary_20000,200,sloro_bce,19,23,0.4678111587982833
covtype_binary_20000,200,sloro_bce,19,29,0.5246636771300448
covtype_binary_20000,200,sloro_bce,23,29,0.5022222222222222
covtype_binary_20000,400,budget_prune,19,23,0.49498997995991983
covtype_binary_20000,400,budget_prune,19,29,0.4774951076320939
covtype_binary_20000,400,budget_prune,23,29,0.4911591355599214
covtype_binary_20000,400,loro_f1,19,23,0.3830935251798561
covtype_binary_20000,400,loro_f1,19,29,0.3310696095076401
covtype_binary_20000,400,loro_f1,23,29,0.32825719120135366
covtype_binary_20000,400,loro_bce,19,23,0.6032064128256514
covtype_binary_20000,400,loro_bce,19,29,0.5748031496062992
covtype_binary_20000,400,loro_bce,23,29,0.5503875968992248
covtype_binary_20000,400,sloro_f1,19,23,0.5469483568075117
covtype_binary_20000,400,sloro_f1,19,29,0.580335731414868
covtype_binary_20000,400,sloro_f1,23,29,0.5980629539951574
covtype_binary_20000,400,sloro_bce,19,23,0.5542452830188679
covtype_binary_20000,400,sloro_bce,19,29,0.5727923627684964
covtype_binary_20000,400,sloro_bce,23,29,0.5980629539951574
