dataset,seed,budget,method,f1,roc_auc,pr_auc,n_features
covtype_binary_20000,19,100,budget_prune,0.7709230033471824,0.8335442543029785,0.797851812900641,100
covtype_binary_20000,19,100,lr_topk_rules,0.7551020408163265,0.8305641025641024,0.7915374175935002,100
covtype_binary_20000,23,100,budget_prune,0.7896015549071783,0.8568107485771179,0.8328431740785256,100
covtype_binary_20000,23,100,lr_topk_rules,0.7629969418960245,0.8433058161350844,0.7972614547195087,100
covtype_binary_20000,29,100,budget_prune,0.775078181380305,0.8350583910942078,0.7995812049278846,100
covtype_binary_20000,29,100,lr_topk_rules,0.7632044478140005,0.8296760475297059,0.7851724571702374,100
covtype_binary_20000,19,200,budget_prune,0.7816091954018057,0.8526514768600464,0.8283317057291667,200
covtype_binary_20000,19,200,lr_topk_rules,0.7599493029150823,0.8358288930581613,0.7988336097776827,200
covtype_binary_20000,23,200,budget_prune,0.8041285479704158,0.8690304756164551,0.8403286508413461,200
covtype_binary_20000,23,200,lr_topk_rules,0.7646313655941221,0.8495374609130707,0.8171985722405155,200
covtype_binary_20000,29,200,budget_prune,0.7810650887569025,0.8465250730514526,0.8246418018830128,200
covtype_binary_20000,29,200,lr_topk_rules,0.7685302302049076,0.839711569731082,0.7972744591101977,200
covtype_binary_20000,19,400,budget_prune,0.7948051948046975,0.8676640391349792,0.8470834585336539,400
covtype_binary_20000,19,400,lr_topk_rules,0.7761642463695543,0.848991119449656,0.8133739634025061,400
covtype_binary_20000,23,400,budget_prune,0.8178562902835792,0.881686806678772,0.8561380709134615,400
covtype_binary_20000,23,400,lr_topk_rules,0.7881797864415198,0.8599924953095684,0.8245446972137176,400
covtype_binary_20000,29,400,budget_prune,0.8006668254341295,0.8707162141799927,0.8489180188301282,400
covtype_binary_20000,29,400,lr_topk_rules,0.7723022491786707,0.8459186991869918,0.8105211795093468,400
