dataset,method,budget,n_seeds,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,status,notes
breast_cancer,budget_prune,n/a,0,,,,,,,missing,not_available_in_v16_package
breast_cancer,gate_l1,n/a,0,,,,,,,missing,not_available_in_v16_package
breast_cancer,rulefit,100,6,0.9587111510740269,0.014662104767780189,0.9902998236331569,0.008103913701813396,0.993705680601287,0.006199436503062677,complete,main table excludes SUSY@400 when partial
breast_cancer,rulefit,200,6,0.960307123414913,0.009780839336084408,0.9893628747795414,0.010128655099135714,0.992395501179093,0.009169984693233895,complete,main table excludes SUSY@400 when partial
breast_cancer,rulefit,400,6,0.9578245093237596,0.011826069531050368,0.9874889770723104,0.010834618368082026,0.990900762637848,0.010740187277445731,complete,main table excludes SUSY@400 when partial
covtype_binary_20000,budget_prune,10,3,0.7535753846168518,0.007549605332314968,0.8277177810668945,0.004695430863648653,0.7962708473205566,0.0020825352985411882,complete,v14_min_checks fair run
covtype_binary_20000,budget_prune,12,3,0.7560195922851562,0.008792676962912083,0.8285579681396484,0.00474551972001791,0.7960612177848816,0.0020000722724944353,complete,v14_min_checks fair run
covtype_binary_20000,budget_prune,16,3,0.7555932998657227,0.009202646091580391,0.8285414576530457,0.004810430109500885,0.795581042766571,0.0023933283518999815,complete,v14_min_checks fair run
covtype_binary_20000,budget_prune,17,3,0.7567138671875,0.006393777672201395,0.8297500610351562,0.003405054332688451,0.7968080639839172,0.002105270279571414,complete,v14_min_checks fair run
covtype_binary_20000,budget_prune,6,3,0.7515670657157898,0.0031135219614952803,0.8160512447357178,0.0061344485729932785,0.7858943939208984,0.002247828058898449,complete,v14_min_checks fair run
covtype_binary_20000,budget_prune,7,3,0.753563642501831,0.005945547949522734,0.8218372464179993,0.008482249453663826,0.7912027835845947,0.00599953718483448,complete,v14_min_checks fair run
covtype_binary_20000,budget_prune,8,3,0.7521621584892273,0.006750042084604502,0.8246226906776428,0.002370872301980853,0.7935600876808167,0.00015692539454903454,complete,v14_min_checks fair run
covtype_binary_20000,gate_l1,100,3,0.7595027089118958,0.006014698185026646,0.8333411812782288,0.005497868172824383,0.8008992671966553,0.006433763075619936,complete,v14_min_checks fair run
covtype_binary_20000,gate_l1,200,3,0.7659853100776672,0.003963390830904245,0.8377345204353333,0.0017086262814700603,0.8055383563041687,0.003698463551700115,complete,v14_min_checks fair run
covtype_binary_20000,gate_l1,25,3,0.7562972903251648,0.007474969141185284,0.829214870929718,0.0038999372627586126,0.7954131960868835,0.00344874057918787,complete,v14_min_checks fair run
covtype_binary_20000,gate_l1,400,3,0.7663934826850891,0.005527709145098925,0.8380932807922363,0.0012589956168085337,0.8065943717956543,0.003858087118715048,complete,v14_min_checks fair run
covtype_binary_20000,gate_l1,50,3,0.7602857947349548,0.006338474340736866,0.8321795463562012,0.002890693722292781,0.7996097207069397,0.0062125325202941895,complete,v14_min_checks fair run
covtype_binary_20000,random_b,n/a,0,,,,,,,missing,not_available_in_v16_package
susy_binary_200000,budget_prune,n/a,0,,,,,,,missing,not_available_in_v16_package
susy_binary_200000,gate_l1,n/a,0,,,,,,,missing,not_available_in_v16_package
susy_binary_200000,rulefit,100,6,0.7298251342787996,0.001623251527402231,0.8651737213154578,0.000747284806060207,0.8703141028168189,0.0010331643545257567,complete,main table excludes SUSY@400 when partial
susy_binary_200000,rulefit,200,6,0.7321960096899561,0.001511725654121847,0.8662968939639861,0.0008247661641273722,0.8715177722699725,0.0009568408280281124,complete,main table excludes SUSY@400 when partial
susy_binary_200000,rulefit,400,6,0.7317759391068119,0.0018693049727664184,0.8660617193647148,0.0008318991466617539,0.8712133253672383,0.0009542990262022947,complete,main table excludes SUSY@400 when partial
