dataset,method,budget,n_seeds,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,status,notes
covtype_binary_20000,budget_prune,100,3,0.7812043279409409,0.00833535100440236,0.8432465493679047,,0.813217967748642,,complete,restored_from_q1_backup
covtype_binary_20000,budget_prune,200,3,0.7916535437107086,0.010430478642551125,0.8593888431787491,,0.8358103036880493,,complete,restored_from_q1_backup
covtype_binary_20000,budget_prune,400,3,0.8044427633285522,0.009782030045347565,0.8733556866645813,,0.8507131735483805,,complete,restored_from_q1_backup
covtype_binary_20000,budget_prune,full,3,0.8161060015360514,0.005304970943716138,0.8855509956677755,,0.8627110123634338,,complete,restored_from_q1_backup
covtype_binary_20000,gate_l1,100,3,0.7880924940109253,0.00429488303199329,0.856842577457428,,0.8286599914232889,,complete,restored_from_q1_backup
covtype_binary_20000,gate_l1,200,3,0.7916430433591207,0.0027647572840092407,0.864643375078837,,0.8412779966990153,,complete,restored_from_q1_backup
covtype_binary_20000,gate_l1,400,3,0.7939199606577555,0.005380102119623391,0.867151141166687,,0.8457786440849304,,complete,restored_from_q1_backup
covtype_binary_20000,gate_l1,full,3,0.7932690382003784,0.004086415514381683,0.8671033581097921,,0.8461732268333435,,complete,restored_from_q1_backup
covtype_binary_20000,random_b,100,3,0.6670679284466637,0.018415508285908506,0.5994918412632413,,0.5709370854828093,,complete,restored_from_q1_backup
covtype_binary_20000,random_b,200,3,0.6668612526522743,0.013837989904532949,0.6082661582363976,,0.5756335192256503,,complete,restored_from_q1_backup
covtype_binary_20000,random_b,400,3,0.6755752265453339,0.015131713031744395,0.6445222265190549,,0.6101283795303769,,complete,restored_from_q1_backup
covtype_binary_20000,random_b,full,3,0.7998140215873718,0.01158116049114927,0.8677329262097676,,0.8395828604698181,,complete,restored_from_q1_backup
breast_cancer,budget_prune,100,6,0.9535954097906748,0.018084923792128428,0.9864968856175741,,0.9919938544432322,,complete,restored_from_q1_backup
breast_cancer,budget_prune,200,6,0.9620147546132406,0.016331348955674018,0.9896384378274282,,0.9935998419920603,,complete,restored_from_q1_backup
breast_cancer,budget_prune,400,6,0.9642364780108134,0.01405282164014668,0.9914572139581045,,0.9947461187839508,,complete,restored_from_q1_backup
breast_cancer,gate_l1,100,6,0.9617435733477274,0.01375724680850599,0.9873787462711334,,0.9922021925449371,,complete,restored_from_q1_backup
breast_cancer,gate_l1,200,6,0.9687886834144592,0.014432524581762734,0.9903549253940582,,0.993974486986796,,complete,restored_from_q1_backup
breast_cancer,gate_l1,400,6,0.9700017472108206,0.016862215910780874,0.9912918706734976,,0.9946323037147522,,complete,restored_from_q1_backup
breast_cancer,rulefit,100,6,0.9587111510740269,0.014662104767780189,0.9902998236331569,0.008103913701813396,0.993705680601287,0.006199436503062677,complete,from_interpretable_baselines_q1
breast_cancer,rulefit,200,6,0.960307123414913,0.009780839336084408,0.9893628747795414,0.010128655099135714,0.992395501179093,0.009169984693233895,complete,from_interpretable_baselines_q1
breast_cancer,rulefit,400,6,0.9578245093237596,0.011826069531050368,0.9874889770723104,0.010834618368082026,0.990900762637848,0.010740187277445731,complete,from_interpretable_baselines_q1
susy_binary_200000,rulefit,100,6,0.7298251342787996,0.001623251527402231,0.8651737213154578,0.000747284806060207,0.8703141028168189,0.0010331643545257567,complete,from_interpretable_baselines_q1
susy_binary_200000,rulefit,200,6,0.7321960096899561,0.001511725654121847,0.8662968939639861,0.0008247661641273722,0.8715177722699725,0.0009568408280281124,complete,from_interpretable_baselines_q1
susy_binary_200000,rulefit,400,6,0.7317759391068119,0.0018693049727664184,0.8660617193647148,0.0008318991466617539,0.8712133253672383,0.0009542990262022947,complete,from_interpretable_baselines_q1
